#{"t_start": 1774871187.891086, "env_id": "None"}
r,l,t
1.95,3,7.400317
4.43,7,7.415564
7.08,11,7.614491
4.22,7,7.629479
2.3,7,7.64409
5.5,8,7.660935
3.36,5,7.671184
2.36,7,7.685701
4.85,9,7.704397
4.0,7,7.717436
3.74,8,7.732112
7.11,10,7.751567
2.23,5,7.760998
5.82,9,7.778006
5.72,11,7.798799
3.35,7,7.812268
2.3,5,7.821652
5.08,7,7.834363
7.12,11,8.026116
5.24,11,8.048328
7.45,11,8.069007
6.03,12,8.090293
6.32,10,8.10907
6.19,10,8.127725
5.04,9,8.143672
1.89,6,8.155539
4.23,9,8.17109
3.38,9,8.186905
4.26,8,8.201217
3.46,5,8.210267
2.95,6,8.220857
3.42,5,8.229941
6.56,10,8.248748
3.25,7,8.427042
6.94,11,8.448161
2.87,7,8.462031
4.1,7,8.474841
4.3,9,8.492272
5.53,9,8.50738
2.41,6,8.517612
3.88,8,8.531723
5.29,8,8.545506
3.95,6,8.557444
5.51,9,8.572937
5.53,8,8.586494
5.02,9,8.602765
6.26,10,8.620443
4.39,10,8.637882
3.98,11,8.830619
7.97,14,8.864101
4.45,7,8.880633
1.72,6,8.89385
3.03,7,8.909428
3.23,7,8.924412
3.21,5,8.936637
6.75,10,8.964078
4.76,7,8.985372
4.99,7,9.002305
5.39,9,9.022767
2.86,6,9.034935
8.04,11,9.063093
3.55,7,9.081912
4.48,9,9.101199
3.0,6,9.117424
6.15,12,9.331881
3.31,6,9.347769
5.01,7,9.362409
2.84,5,9.374176
3.44,6,9.385834
4.83,9,9.40588
6.75,10,9.429798
6.68,10,9.45354
6.0,11,9.481591
6.47,10,9.505146
4.07,8,9.525232
4.34,8,9.550214
3.29,7,9.594433
2.53,5,9.639914
4.95,10,9.669666
4.57,9,9.693012
4.82,8,9.919007
5.17,7,9.933418
5.76,11,9.95204
3.59,7,9.965036
4.94,9,9.982288
5.17,9,9.998943
3.46,6,10.009127
8.34,14,10.036606
4.65,8,10.051572
3.78,8,10.067636
1.95,6,10.078997
8.72,15,10.105836
8.93,14,10.132011
5.8,10,10.327477
2.54,5,10.339213
4.12,9,10.362588
3.08,5,10.375226
3.52,7,10.394469
6.24,11,10.422797
4.44,8,10.442729
4.45,7,10.459589
6.76,11,10.489738
6.75,11,10.514121
4.84,9,10.535573
2.61,4,10.545118
5.99,10,10.565534
4.82,8,10.584619
3.69,7,10.601668
5.6,8,10.61787
6.35,11,10.822227
6.75,9,10.840723
5.15,10,10.863432
6.43,10,10.884779
4.94,8,10.903342
7.11,12,10.929327
2.78,7,10.94351
5.58,9,10.965559
7.01,10,10.990142
2.68,6,11.002918
4.87,9,11.026127
7.08,12,11.049847
4.52,7,11.062881
3.05,6,11.075155
3.2,6,11.086495
5.3,9,11.262729
3.63,9,11.280886
6.16,11,11.30133
3.56,7,11.314029
4.34,8,11.329592
5.2,12,11.357121
8.89,14,11.389184
6.9,12,11.416608
4.29,8,11.434227
7.39,11,11.46187
4.77,9,11.485642
7.18,11,11.509539
8.69,15,11.727345
4.96,8,11.740951
8.17,14,11.76796
5.93,10,11.7871
4.65,8,11.804868
7.91,10,11.826502
4.59,10,11.845742
5.67,10,11.867756
6.75,11,11.887788
4.53,8,11.901241
3.66,7,11.912464
5.22,7,11.924113
5.98,9,11.940637
4.5,7,11.956122
5.87,9,12.13889
4.49,8,12.151279
5.0,8,12.162786
3.35,6,12.171592
8.86,12,12.190732
7.52,13,12.210951
5.2,8,12.239628
6.89,9,12.25454
3.96,7,12.265536
4.22,8,12.276899
5.79,10,12.292235
6.28,11,12.318585
6.75,10,12.340616
3.96,8,12.356212
1.94,5,12.552635
7.59,11,12.578396
4.07,10,12.600883
3.85,8,12.619291
3.2,6,12.632044
6.96,12,12.654418
4.57,9,12.672176
5.63,12,12.696245
6.04,12,12.724105
4.55,7,12.739546
1.01,4,12.748392
1.77,6,12.761168
7.3,12,12.788054
5.07,9,12.806611
6.05,9,13.017844
4.56,9,13.060523
4.89,11,13.120102
3.7,7,13.132742
5.15,8,13.148316
6.71,12,13.168448
9.29,12,13.185743
3.43,8,13.199586
5.83,9,13.217329
6.29,10,13.23772
8.87,13,13.259866
6.26,10,13.274495
5.14,10,13.290625
3.13,6,13.303111
7.81,12,13.50937
5.5,7,13.521183
5.99,11,13.538364
7.07,11,13.555293
3.75,7,13.566374
9.88,15,13.587698
3.97,8,13.599724
4.42,8,13.611273
3.76,6,13.620798
5.58,8,13.6373
6.81,11,13.664256
4.99,10,13.691509
9.51,13,13.720703
4.42,7,13.883192
5.44,10,13.903864
6.03,12,13.925772
4.15,8,14.020236
5.53,10,14.037264
8.48,13,14.058312
7.18,10,14.079548
3.33,6,14.089744
10.26,15,14.11367
11.61,19,14.15017
6.5,10,14.167117
6.52,9,14.182872
3.67,7,14.378606
3.72,5,14.388382
2.82,7,14.402895
4.43,7,14.416948
5.19,10,14.436454
4.01,7,14.452448
8.34,13,14.478626
7.42,13,14.505649
8.28,15,14.533563
6.17,10,14.553752
2.95,4,14.56285
3.81,7,14.579567
8.35,11,14.605807
8.25,12,14.627738
6.89,11,14.821754
5.99,8,14.839945
4.6,8,14.855476
3.31,8,14.871942
10.8,15,14.901127
7.3,12,14.924217
8.0,15,14.954829
6.49,12,14.97546
7.64,12,14.997407
3.48,7,15.012816
4.52,8,15.028764
