#{"t_start": 1774950572.2989066, "env_id": "None"}
r,l,t
5.64,11,0.034598
3.83,5,0.045328
5.21,8,0.06481
4.32,7,0.083176
2.18,3,0.089671
3.81,8,0.102772
4.94,8,0.115804
4.59,7,0.126984
2.81,5,0.135761
4.0,6,0.144296
3.07,7,0.15517
5.34,10,0.175042
4.29,8,0.190926
3.18,7,0.203922
2.34,6,0.216622
4.73,7,0.232021
2.94,6,0.245236
3.65,9,0.263635
5.6,8,0.460695
3.46,6,0.475781
3.26,6,0.491052
5.06,8,0.511272
4.99,8,0.53125
3.37,6,0.545238
3.76,7,0.560452
2.14,7,0.577151
4.77,8,0.595207
2.38,5,0.60715
4.41,8,0.626173
1.73,6,0.639946
2.41,6,0.653458
5.11,10,0.675722
4.39,9,0.695738
4.51,10,0.720947
2.97,6,0.736221
4.18,9,0.959891
5.32,10,0.984517
4.22,8,1.004589
5.04,8,1.023509
4.76,8,1.042279
4.83,9,1.063732
3.16,7,1.079518
3.95,8,1.094758
3.66,7,1.107827
3.81,5,1.117208
5.3,8,1.132945
4.65,9,1.15134
2.96,5,1.161869
5.44,9,1.183103
2.75,6,1.195451
5.27,10,1.218623
4.7,8,1.418828
3.02,9,1.442083
1.41,5,1.454378
2.07,5,1.466857
6.78,12,1.493415
3.43,8,1.513599
4.23,7,1.533453
4.9,9,1.55573
3.95,8,1.568875
4.3,10,1.584703
5.63,10,1.603606
3.44,5,1.614066
5.53,10,1.636961
2.75,7,1.652196
4.61,9,1.666906
5.23,8,1.682782
2.75,5,1.888783
4.12,8,1.907896
2.75,7,1.923425
5.1,8,1.944264
3.1,5,1.95699
2.57,7,1.974785
4.1,8,1.994441
5.69,9,2.01672
7.83,14,2.044147
1.55,4,2.052715
5.16,10,2.070631
4.03,6,2.083022
4.98,6,2.094222
3.04,6,2.106054
2.37,5,2.116801
4.69,9,2.134882
4.79,9,2.148853
7.56,12,2.371103
4.48,7,2.388841
5.03,10,2.41391
6.38,10,2.440528
5.34,11,2.465934
3.95,8,2.484068
4.8,8,2.501436
5.95,10,2.522568
6.57,9,2.546206
1.69,5,2.559568
5.39,8,2.579411
4.05,8,2.60013
5.2,8,2.619714
4.66,7,2.638083
3.65,7,2.654951
3.11,6,2.668095
8.02,11,2.895925
3.88,9,2.920354
4.69,9,2.943799
6.76,13,2.976602
4.78,7,2.995277
6.72,12,3.025216
4.16,7,3.044241
2.02,4,3.054552
2.91,6,3.069292
7.08,10,3.09376
6.14,8,3.112036
7.57,11,3.139732
3.55,6,3.155588
2.76,6,3.170956
4.23,8,3.191314
4.99,10,3.411891
4.83,8,3.429668
4.39,8,3.449213
3.91,7,3.465517
6.59,12,3.495036
4.09,6,3.509723
1.68,4,3.520239
3.74,8,3.539878
6.57,12,3.572239
6.45,11,3.602388
4.67,8,3.622097
6.58,11,3.651676
3.65,9,3.674154
5.54,9,3.693847
2.53,5,3.704821
3.05,7,3.926039
4.39,8,3.946612
4.56,6,3.961462
4.36,6,3.976363
7.01,13,4.008602
