#{"t_start": 1774867255.97258, "env_id": "None"}
r,l,t
1.03,4,0.020068
2.41,5,0.028552
1.74,4,0.035084
1.14,5,0.041485
1.3,3,0.045288
1.7,5,0.052043
1.38,4,0.058956
2.48,5,0.064914
2.04,8,0.075079
2.28,5,0.082389
1.79,5,0.091295
1.02,5,0.098049
3.75,6,0.106441
1.86,5,0.113935
0.94,3,0.117487
2.66,7,0.12522
1.7,4,0.131248
2.82,6,0.139882
1.88,5,0.146759
1.15,4,0.152746
1.55,4,0.157973
1.68,3,0.162569
1.63,5,0.169269
2.16,5,0.175758
2.26,5,0.18187
2.33,7,0.189997
2.07,5,0.19734
1.06,5,0.204424
1.38,4,0.211308
1.41,4,0.217455
1.52,4,0.223381
3.26,5,0.231242
1.89,4,0.236891
0.86,3,0.240665
2.65,6,0.249863
2.28,5,0.259339
2.48,7,0.271229
2.51,6,0.279598
2.28,6,0.287903
3.12,6,0.297297
3.62,7,0.307981
3.21,5,0.316201
2.47,5,0.323488
3.01,6,0.334147
0.82,4,0.340622
1.0,4,0.347825
1.58,4,0.355259
0.93,3,0.360639
2.52,5,0.370626
2.41,6,0.381655
1.68,5,0.391324
3.35,5,0.400516
0.21,4,0.407558
1.6,3,0.412311
2.15,6,0.422375
1.88,6,0.434055
0.57,4,0.441212
1.15,5,0.450814
1.91,5,0.460939
1.52,4,0.468735
2.25,5,0.479135
0.3,3,0.485006
2.89,6,0.496301
0.63,5,0.50425
1.67,4,0.509019
1.31,3,0.512362
1.6,4,0.517401
0.61,3,0.522352
2.37,6,0.532038
2.81,6,0.542559
0.64,4,0.549541
2.34,5,0.556868
1.65,5,0.565259
0.99,3,0.57017
1.74,5,0.578597
1.29,4,0.585156
2.51,5,0.592806
1.02,4,0.598576
0.69,3,0.603445
1.92,7,0.614422
1.2,4,0.620163
2.77,7,0.629559
2.74,5,0.637068
1.05,4,0.642465
1.85,5,0.649494
1.14,4,0.653797
1.22,4,0.6584
2.59,6,0.665772
2.28,5,0.672333
0.73,4,0.678424
2.93,5,0.685239
2.47,4,0.690097
1.68,3,0.693578
2.26,4,0.698166
2.87,6,0.704885
1.02,3,0.708174
1.54,4,0.712854
2.94,6,0.719733
1.7,5,0.72509
1.2,4,0.730766
1.17,4,0.735395
1.12,3,0.738383
0.49,3,0.741935
0.96,3,0.745362
1.99,5,0.752047
1.67,6,0.758944
0.67,4,0.764095
0.48,3,0.767723
1.27,4,0.772469
1.25,6,1.427056
2.12,4,1.434346
1.24,5,1.442607
1.44,4,1.44905
2.94,8,1.464514
1.21,3,1.46976
2.18,5,1.477165
2.63,4,1.483438
4.02,6,1.491341
1.33,3,1.495508
2.3,6,1.502783
2.52,4,1.506699
1.69,5,1.511927
1.7,5,1.518561
2.77,5,1.524389
1.8,5,1.529184
0.88,4,1.534115
2.26,6,1.540462
1.99,5,1.54589
1.49,5,1.552246
2.81,6,1.560851
1.03,5,1.569508
1.96,6,1.577293
0.54,3,1.581787
0.94,5,1.589176
2.45,4,1.593919
1.87,4,1.598344
1.5,3,1.601874
3.38,6,1.607837
2.36,5,1.613026
1.02,3,1.616068
1.25,5,1.621799
2.03,7,1.62929
1.25,4,1.634273
1.84,4,1.638809
1.47,3,1.642441
0.12,3,1.645433
1.88,7,1.654045
3.23,5,1.660396
1.39,4,1.665047
1.63,4,1.674062
2.22,5,1.682591
1.47,4,1.688576
1.98,5,1.693816
2.04,5,1.699478
1.74,4,1.704257
1.67,7,1.7124
1.4,4,1.716468
1.98,5,1.722439
3.04,5,1.72764
3.05,6,1.734435
1.55,3,1.738322
1.91,4,1.742866
1.1,3,1.746228
1.27,4,1.750684
3.09,6,1.758784
0.76,4,1.763401
1.93,5,1.769059
1.34,3,1.772577
2.35,5,1.779018
1.29,5,1.785473
1.68,4,1.790578
0.55,4,1.810881
1.4,4,1.816548
1.79,4,1.826226
1.67,4,1.841588
2.34,5,1.8656
3.14,6,1.883294
1.96,4,1.909271
1.43,6,1.919229
3.79,5,1.926289
1.72,5,1.932692
1.39,4,1.938313
1.87,4,1.945367
1.7,5,1.95505
1.99,5,1.964446
1.6,4,1.97104
1.06,3,1.977706
2.03,4,1.984781
2.99,5,1.992911
3.16,8,2.004628
1.87,4,2.011652
1.88,4,2.018107
1.58,4,2.024259
1.72,4,2.032132
3.49,6,2.040589
1.07,4,2.047149
1.43,5,2.053079
1.32,3,2.056237
1.71,6,2.063385
1.91,4,2.069174
1.54,4,2.074904
1.57,6,2.082864
2.21,4,2.088878
3.41,5,2.095402
0.25,3,2.099324
