#{"t_start": 1774868111.0970657, "env_id": "None"}
r,l,t
1.03,4,0.022467
2.41,5,0.03222
1.74,4,0.039653
1.14,5,0.048853
1.3,3,0.054372
1.7,5,0.063352
1.38,4,0.097882
2.48,5,0.163853
2.04,8,0.179456
2.28,5,0.189776
1.79,5,0.200167
1.02,5,0.209828
3.75,6,0.220254
1.86,5,0.230489
0.94,3,0.235901
2.66,7,0.247551
1.7,4,0.25359
2.82,6,0.264227
1.88,5,0.27282
1.15,4,0.279423
1.55,4,0.286664
1.68,3,0.291629
1.63,5,0.30016
2.16,5,0.309339
2.26,5,0.318512
2.33,7,0.330897
2.07,5,0.341072
1.06,5,0.351661
1.38,4,0.359457
1.41,4,0.366645
1.52,4,0.37371
3.26,5,0.382222
1.89,4,0.389779
0.86,3,0.395705
2.65,6,0.405607
2.28,5,0.413246
2.48,7,0.424006
2.51,6,0.43558
2.28,6,0.446037
3.12,6,0.457185
3.62,7,0.467853
3.21,5,0.475513
2.47,5,0.485558
3.01,6,0.495645
0.82,4,0.5039
1.0,4,0.511198
1.58,4,0.518787
0.93,3,0.523924
2.52,5,0.531484
2.41,6,0.541482
1.68,5,0.55001
3.35,5,0.559316
0.21,4,0.56591
1.6,3,0.570913
2.15,6,0.580166
1.88,6,0.589473
0.57,4,0.596258
1.15,5,0.606067
1.91,5,0.614275
1.52,4,0.62105
2.25,5,0.628883
0.3,3,0.635048
2.89,6,0.643799
0.63,5,0.652996
1.67,4,0.661361
1.31,3,0.666312
1.6,4,0.673861
0.61,3,0.680153
2.37,6,0.691025
2.81,6,0.702054
0.64,4,0.709202
2.34,5,0.715737
1.65,5,0.72313
0.99,3,0.727146
1.74,5,0.734491
1.29,4,0.739267
2.51,5,0.744339
1.02,4,0.749282
0.69,3,0.75359
1.92,7,0.764673
1.2,4,0.77215
2.77,7,0.78422
2.74,5,0.792804
1.05,4,0.798968
1.85,5,0.807724
1.14,4,0.813206
1.22,4,0.81861
2.59,6,0.827027
2.28,5,0.834803
0.73,4,0.84047
2.93,5,0.847952
2.47,4,0.852867
1.68,3,0.857784
2.26,4,0.865952
2.87,6,0.879153
1.02,3,0.886269
1.54,4,0.895572
2.94,6,0.907631
1.7,5,0.916686
1.2,4,0.92355
1.17,4,0.929687
1.12,3,0.936217
0.49,3,0.942906
0.96,3,0.948783
1.99,5,0.958632
1.67,6,0.970617
0.67,4,0.97802
0.48,3,0.986508
1.27,4,0.994808
1.25,6,1.775973
2.12,4,1.783909
1.24,5,1.793416
4.91,11,1.815266
1.01,4,1.822952
2.18,5,1.832318
2.63,4,1.839766
4.02,6,1.852662
1.33,3,1.858885
2.3,6,1.871902
2.52,4,1.880193
1.94,5,1.890089
1.7,5,1.900562
2.77,5,1.911657
1.8,5,1.923776
0.88,4,1.932387
3.19,7,1.949151
3.37,7,1.964624
0.94,3,1.970822
2.67,6,1.98441
1.96,6,1.998446
0.77,4,2.008252
0.54,3,2.015385
0.94,5,2.027631
2.45,4,2.035852
2.86,5,2.046044
1.44,4,2.054501
3.47,7,2.069604
0.83,3,2.076123
0.64,4,2.084025
2.81,7,2.094798
1.76,4,2.102455
1.65,4,2.111661
1.92,4,2.120924
1.68,3,2.12851
0.13,3,2.135163
2.23,7,2.151514
2.4,4,2.159993
1.39,4,2.167946
1.63,4,2.176007
4.37,7,2.190559
1.75,5,2.201585
1.35,4,2.209926
1.05,4,2.216813
2.31,4,2.223623
2.4,7,2.235835
1.54,6,2.245677
2.26,5,2.252818
1.1,3,2.257061
3.28,6,2.265584
2.24,4,2.271244
0.93,3,2.275675
1.17,4,2.281068
3.04,5,2.289505
1.71,5,2.29709
1.06,4,2.303395
2.0,5,2.311058
2.57,5,2.31797
1.84,3,2.322783
2.62,6,2.33138
0.37,3,2.335701
1.14,4,2.341677
1.24,3,2.346272
1.05,4,2.352361
2.5,5,2.359932
1.46,4,2.366256
2.73,6,2.374795
1.9,5,2.381507
1.18,5,2.388615
3.84,6,2.396828
1.47,4,2.40317
2.35,5,2.411455
0.78,4,2.417366
2.32,5,2.424301
1.24,4,2.430691
1.43,4,2.436946
0.51,4,2.443144
1.28,3,2.448292
3.87,6,2.457073
1.71,7,2.467171
2.17,5,2.475231
2.22,4,2.481557
1.06,4,2.488638
3.12,6,2.498406
1.93,4,2.505213
1.28,4,2.512018
0.24,4,2.518744
1.93,5,2.527998
1.4,6,2.537242
1.53,4,2.543643
2.08,7,2.554753
2.21,4,2.561356
3.41,5,2.569916
0.25,3,2.574898
2.08,5,2.582103
0.79,2,2.585013
1.72,4,2.591525
1.69,4,2.597403
1.25,4,2.603135
0.79,3,2.607762
1.33,5,2.615247
1.75,6,2.624695
0.67,4,2.631096
1.93,4,2.636964
1.4,6,2.645336
1.48,5,2.652749
2.07,4,2.66192
1.27,4,2.669166
1.18,4,2.6762
2.68,5,2.684218
2.32,6,3.424844
1.63,5,3.434833
2.1,9,3.453233
2.04,5,3.463919
2.39,6,3.475239
2.55,5,3.484172
2.48,4,3.490925
3.09,8,3.504635
3.34,6,3.517638
2.33,5,3.528644
1.89,5,3.53785
2.63,5,3.546834
1.02,6,3.558471
0.5,4,3.565099
1.92,5,3.573244
1.56,3,3.578189
2.16,6,3.589014
1.83,4,3.597182
0.49,3,3.603006
1.94,5,3.611689
1.58,3,3.61564
2.7,5,3.621656
1.35,6,3.629317
1.06,4,3.633788
1.34,3,3.638313
2.61,4,3.643961
3.43,6,3.654704
1.43,4,3.66289
1.75,5,3.673526
2.84,6,3.687094
2.34,6,3.69888
1.74,5,3.706601
2.48,4,3.711516
2.63,5,3.717408
1.57,4,3.721622
1.24,3,3.725904
2.78,5,3.732918
1.9,4,3.737789
2.43,4,3.742529
1.98,5,3.748675
0.49,3,3.753599
1.46,5,3.759713
1.84,3,3.764633
1.03,5,3.772852
1.66,3,3.77651
1.19,3,3.780478
1.5,6,3.788095
3.5,6,3.795179
1.03,3,3.79973
1.24,3,3.805154
3.32,6,3.81373
1.09,4,3.819433
3.41,6,3.828686
2.19,5,3.836916
1.8,3,3.841552
0.93,3,3.845004
1.87,4,3.850073
1.91,4,3.855208
1.65,5,3.862844
3.22,5,3.870885
2.1,4,3.878029
1.94,5,3.887683
1.84,4,3.89456
2.69,7,3.906788
2.3,5,3.915646
2.31,5,3.922695
3.77,7,3.931947
1.44,3,3.935554
2.64,5,3.941086
2.33,4,3.94553
1.9,7,3.952592
2.55,5,3.960512
3.49,8,3.974856
2.28,5,3.982824
2.77,7,3.993145
1.07,4,3.997945
2.87,5,4.005141
1.5,3,4.009553
2.12,4,4.01485
2.51,4,4.019094
1.21,5,4.024354
2.81,5,4.032094
2.31,4,4.038818
0.82,3,4.043537
1.06,3,4.048501
1.7,5,4.055079
0.37,3,4.059708
1.77,6,4.070425
1.28,5,4.079986
1.34,5,4.090299
1.89,4,4.096444
0.7,5,4.103486
1.29,4,4.109069
2.48,7,4.117163
2.41,4,4.121756
2.35,4,4.126419
2.16,4,4.131859
1.17,5,4.13797
2.82,6,4.146214
0.84,3,4.150652
0.9,5,4.156643
1.91,5,4.163259
1.02,3,4.166585
1.23,4,4.170936
2.45,5,4.177557
2.31,4,4.181724
2.15,4,4.185791
3.22,6,4.192385
0.85,4,4.196671
3.19,5,4.896595
1.15,3,4.902483
5.33,11,4.922602
3.1,5,4.930543
1.52,5,4.938247
2.53,5,4.949809
1.43,4,4.958595
1.21,4,4.967401
2.01,6,4.980011
1.64,5,4.992662
2.55,6,5.004868
2.15,5,5.013525
3.72,6,5.023108
3.33,6,5.031896
1.36,4,5.037745
1.86,6,5.051418
2.15,4,5.061232
3.97,9,5.082089
3.84,7,5.099023
3.42,7,5.112956
