#{"t_start": 1774870370.0642493, "env_id": "None"}
r,l,t
2.88,9,0.034885
3.82,7,0.052162
2.25,6,0.067794
5.76,8,0.089319
3.67,6,0.105138
3.16,9,0.126813
5.39,9,0.147225
3.21,8,0.165214
3.51,7,0.183321
5.36,10,0.206486
2.42,4,0.216076
4.95,9,0.237509
3.57,7,0.253211
4.15,7,0.270715
5.4,10,0.295505
4.94,9,0.315921
4.58,6,0.328566
4.69,11,0.353496
5.42,9,0.375877
2.77,7,0.392249
2.63,6,0.405944
3.09,7,0.421612
4.55,9,0.440824
3.74,9,0.45966
3.85,9,0.480643
4.87,9,0.500287
3.33,6,0.514068
3.89,6,0.52737
4.21,9,0.547333
4.97,8,0.566066
2.87,6,0.580991
4.4,9,0.602597
4.0,7,0.61889
2.86,5,0.630431
4.17,8,0.649437
2.86,5,0.661465
5.51,10,0.685091
6.59,10,0.70751
2.23,6,0.720732
2.83,7,0.735705
2.56,5,0.747288
3.25,5,0.75914
2.6,6,0.774504
2.99,7,0.791281
4.29,10,0.814203
4.25,8,0.827788
1.42,5,0.836238
1.43,3,0.841596
1.88,6,0.850873
3.66,7,0.863106
3.94,7,0.877445
3.32,7,0.892187
4.54,8,0.909783
7.55,11,0.931443
4.24,8,0.947031
5.31,9,0.967951
2.52,6,0.979714
3.9,8,0.99233
2.82,4,0.998038
3.17,7,1.009974
1.67,4,1.01629
3.64,6,1.027797
4.02,7,1.038424
3.9,8,1.049788
1.41,5,1.057029
2.78,7,1.068013
1.6,5,1.07702
5.22,8,1.089344
4.12,8,1.102735
3.1,6,1.114943
3.22,8,1.817401
5.27,9,1.83899
3.48,5,1.850419
6.88,14,1.888319
5.8,10,1.914531
7.11,12,1.94285
2.32,5,1.952757
2.33,5,1.96276
3.61,7,1.976667
2.4,5,1.987451
4.23,8,2.003713
4.4,9,2.020964
5.52,10,2.040011
1.17,4,2.047867
3.6,6,2.060182
4.13,10,2.079793
2.57,7,2.094377
3.74,5,2.10421
3.15,6,2.115214
3.67,6,2.126205
4.27,7,2.139473
4.5,8,2.155116
5.78,10,2.174618
7.08,13,2.201528
3.45,8,2.216925
2.24,6,2.228614
1.46,4,2.236074
2.94,4,2.243758
2.57,5,2.253063
4.68,8,2.268576
4.6,7,2.281447
4.56,10,2.301186
4.38,7,2.314236
4.14,7,2.326302
4.85,9,2.341424
5.41,8,2.355253
4.84,9,2.371027
3.46,8,2.385024
2.61,6,2.397074
2.87,7,2.409475
4.22,7,2.422077
5.73,10,2.439839
3.42,6,2.450312
3.32,5,2.459155
3.18,6,2.469608
5.14,8,2.483273
4.21,6,2.494347
6.58,12,2.515079
2.46,6,2.525596
3.12,6,2.536681
5.01,9,2.552116
5.02,7,2.564101
2.25,5,2.572482
4.54,8,2.58656
4.84,9,2.601585
4.39,10,2.622231
2.47,6,2.631789
4.09,7,2.6425
3.24,6,2.651948
6.56,10,2.670522
2.74,6,2.683266
3.09,5,2.695257
3.61,6,2.710829
2.96,6,2.725163
5.41,8,2.74405
2.4,5,2.75644
2.25,6,2.769769
2.39,4,2.778162
4.4,8,2.800094
4.13,9,2.822353
3.77,9,3.766213
3.05,6,3.779213
6.48,11,3.805038
4.08,10,3.826063
3.58,8,3.84366
4.73,9,3.863003
3.81,6,3.875715
4.36,7,3.891736
3.6,6,3.907642
4.2,7,3.921481
5.45,9,3.941658
2.94,6,3.95306
5.39,8,3.971294
2.98,7,3.988752
3.39,8,4.006675
6.05,11,4.031925
3.05,5,4.045074
4.11,8,4.063394
2.53,7,4.081307
4.55,8,4.100812
3.96,6,4.116822
4.4,9,4.139793
6.33,10,4.165173
4.18,8,4.182457
2.48,6,4.196842
4.99,8,4.215918
6.35,11,4.238698
5.32,9,4.261307
2.16,5,4.273512
3.69,8,4.291775
4.84,8,4.306912
7.08,10,4.32705
4.56,8,4.340281
3.84,8,4.353113
4.28,9,4.367065
3.28,6,4.377635
1.91,6,4.39012
6.45,9,4.412148
8.02,12,4.436917
4.31,8,4.455843
3.77,7,4.473693
2.36,6,4.489762
7.23,11,4.516596
4.2,5,4.528885
5.44,9,4.550907
6.23,10,4.569034
4.17,8,4.58725
3.45,6,4.602934
