#{"t_start": 1774866366.808393, "env_id": "None"}
r,l,t
1.24,4,0.008998
2.6,7,0.010783
1.46,3,0.011705
1.21,3,0.012477
2.46,5,0.01362
1.76,4,0.014614
2.11,4,0.01569
2.45,4,0.016685
1.4,4,0.017877
2.24,5,0.019265
1.1,3,0.02009
2.17,4,0.021019
1.12,3,0.021943
0.85,3,0.022684
0.42,3,0.023515
2.38,7,0.025085
2.29,6,0.026663
4.25,8,0.028848
3.2,9,0.031103
1.03,3,0.031783
1.6,5,0.033289
2.36,5,0.034494
2.85,5,0.043242
1.61,5,0.05133
1.48,3,0.061575
1.6,4,0.069145
1.7,3,0.085016
1.33,4,0.092695
1.2,4,0.1011
1.24,4,0.108183
0.86,3,0.115172
1.36,4,0.12344
1.29,4,0.131093
2.13,5,0.139198
1.08,4,0.146922
1.77,6,0.156443
1.98,4,0.165921
1.66,4,0.173558
2.2,7,0.189334
1.76,6,0.204522
1.31,5,0.213833
3.08,8,0.231705
2.53,6,0.241526
1.2,6,0.255781
1.87,4,0.26228
2.13,6,0.270869
1.73,5,0.28407
0.71,3,0.284967
0.9,5,0.297703
1.33,5,0.306254
1.97,4,0.313177
2.26,7,0.328755
4.25,9,0.345084
1.63,6,0.352854
2.02,6,0.367024
3.45,8,0.383597
1.8,6,0.391624
1.87,7,0.406674
2.54,6,0.421129
1.72,5,0.430977
1.82,6,0.440559
1.67,5,0.454787
3.63,11,0.4733
0.89,5,0.487379
2.69,7,0.494941
1.89,8,0.50919
3.18,8,0.522174
1.89,8,0.536085
2.72,5,0.547937
0.93,4,0.554217
2.72,9,0.568795
1.16,4,0.574506
3.08,9,0.589506
3.66,8,0.601827
1.14,4,0.608209
3.01,8,0.621409
1.39,7,0.636026
3.33,10,0.650051
1.65,7,0.66329
2.95,8,0.675967
2.6,7,0.691121
2.83,8,0.704259
1.58,6,0.712183
1.0,5,0.726593
2.4,8,0.741602
2.0,9,0.756297
1.59,6,0.764294
1.99,5,0.775563
2.49,5,0.782841
1.93,8,0.796514
1.72,5,0.803711
2.42,4,0.809453
3.06,9,0.825063
3.18,9,0.849445
1.3,6,0.860592
2.06,7,0.876117
1.18,6,0.890755
2.22,7,0.909508
1.74,6,0.926179
1.56,5,0.933646
2.25,9,0.952934
1.07,6,0.970512
2.52,8,0.989669
2.19,7,1.000485
1.32,6,1.017986
2.13,8,1.036427
1.96,6,1.048394
1.15,6,1.065158
3.42,8,1.080388
1.64,6,1.090581
2.03,7,1.109413
3.06,9,1.126882
1.94,6,1.144997
1.55,8,1.16256
3.69,9,1.176823
1.21,6,1.192183
2.39,6,1.201367
1.0,5,1.210063
1.28,6,1.225744
1.3,7,1.242775
2.77,8,1.261539
1.76,7,1.273241
1.22,6,1.290501
2.2,7,1.308488
1.0,5,1.32015
1.86,7,1.334795
1.07,6,1.346176
1.0,5,1.357292
1.23,6,1.37689
1.18,7,1.395605
1.51,6,1.407659
2.24,7,1.42564
1.99,6,1.437946
2.49,7,1.456099
2.47,9,1.474986
1.25,6,1.493318
