#{"t_start": 1774866702.6237004, "env_id": "None"}
r,l,t
3.15,7,0.008431
1.73,6,0.00982
0.47,3,0.010352
2.17,5,0.011492
2.39,5,0.014653
2.39,4,0.01555
1.35,6,0.016705
3.68,7,0.017652
2.26,5,0.0184
2.25,5,0.019475
1.94,4,0.020028
2.1,5,0.020631
0.63,4,0.021258
1.93,5,0.021852
3.85,7,0.02356
0.99,3,0.024001
2.5,4,0.024706
2.66,6,0.025571
2.62,5,0.026505
1.14,4,0.028031
0.85,5,0.040968
1.08,3,0.042357
0.82,3,0.049219
0.37,3,0.056029
1.1,4,0.06197
1.91,6,0.06877
2.61,6,0.082667
2.21,7,0.099895
1.46,3,0.101508
0.09,3,0.108776
1.0,6,0.12477
1.61,4,0.206869
0.7,3,0.208353
0.22,4,0.21641
1.15,4,0.226271
2.0,6,0.23997
1.05,5,0.24687
1.22,4,0.254645
1.14,3,0.261247
0.9,4,0.269546
0.47,3,0.278661
1.4,4,0.286614
0.8,4,0.295901
0.06,3,0.296885
0.85,3,0.303498
0.0,3,0.3089
1.16,4,0.315412
1.85,5,0.322011
1.03,4,0.330848
1.83,5,0.337088
0.95,4,0.344038
2.32,6,0.355072
2.78,7,0.367646
0.75,4,0.37567
2.23,5,0.384555
0.69,3,0.393312
0.97,3,0.394714
0.0,3,0.403307
0.88,5,0.412067
0.86,5,0.428134
1.83,6,0.437796
1.12,4,0.446503
0.18,3,0.454015
0.82,4,0.462735
0.31,4,0.473059
1.05,3,0.480802
0.81,3,0.483572
1.12,4,0.492548
0.71,5,0.504783
1.86,3,0.505684
2.82,7,0.51878
1.89,6,0.532714
0.96,3,0.533739
0.86,4,0.542171
1.12,4,0.550836
1.72,5,0.564485
0.63,5,0.574112
0.62,3,0.58161
0.97,5,0.590313
1.17,4,0.597839
0.82,3,0.604833
0.57,3,0.607293
1.88,6,0.620611
1.62,4,0.628733
1.54,4,0.634435
0.33,3,0.641366
0.48,4,0.649563
0.91,3,0.651576
1.1,4,0.659786
0.0,3,0.66806
0.13,4,0.675925
1.11,5,0.683034
0.95,4,0.692076
0.81,5,0.707758
0.62,5,0.717304
0.72,4,0.725711
2.07,7,0.742661
2.78,7,0.751609
1.67,8,0.770261
2.06,7,0.789497
1.29,5,0.797745
1.91,8,0.811446
2.93,8,0.828198
2.3,8,0.842718
3.41,8,0.855787
0.73,5,0.869339
3.17,10,0.889911
2.04,9,0.907113
1.08,5,0.923546
3.11,14,0.952283
2.34,7,0.968357
3.09,11,0.996308
3.09,10,1.013788
1.84,5,1.023483
2.16,11,1.05139
2.43,12,1.079538
2.57,7,1.092929
3.07,10,1.106296
1.13,3,1.112686
2.3,7,1.128515
2.84,11,1.156031
2.58,8,1.173354
4.29,14,1.200225
1.23,5,1.207047
2.08,9,1.230545
1.39,8,1.247456
3.2,13,1.272609
3.45,13,1.296856
3.0,13,1.320351
2.37,12,1.344359
3.03,11,1.366072
3.0,10,1.384367
3.07,11,1.404701
2.99,12,1.429314
2.14,12,1.455196
3.18,9,1.474911
2.61,9,1.487752
5.13,16,1.517181
1.62,10,1.53738
1.62,10,1.561149
1.54,5,1.57048
1.62,10,1.590822
2.63,13,1.611588
1.62,10,1.628587
1.86,8,1.642455
2.23,12,1.666844
1.62,10,1.695771
2.08,11,1.72103
1.62,10,1.738654
2.55,11,1.758621
1.62,10,1.775918
2.23,11,1.799453
1.62,10,1.822792
2.04,12,1.844906
1.69,11,1.862158
2.57,11,1.886585
1.62,10,1.91176
1.62,10,1.927383
1.62,10,1.948014
1.69,11,1.967444
2.44,11,1.994855
2.57,11,2.02188
1.62,10,2.043094
1.62,10,2.066423
1.62,10,2.0851
2.6,11,2.113684
1.62,10,2.1391
1.62,10,2.16256
2.51,12,2.189461
1.62,10,2.211653
2.47,11,2.226533
1.63,11,2.248375
4.73,9,2.266274
3.24,5,2.281113
3.24,5,2.290789
3.24,5,2.299654
3.24,5,2.309675
3.24,5,2.324092
3.24,5,2.33202
3.24,5,2.342821
3.24,5,2.353699
3.24,5,2.36581
3.24,5,2.374581
3.24,5,2.384381
3.93,6,2.40081
3.24,5,2.409632
3.24,5,2.41869
3.24,5,2.428327
3.24,5,2.445113
3.24,5,2.455118
3.24,5,2.463225
3.24,5,2.470572
3.24,5,2.486858
3.24,5,2.495389
3.24,5,2.504855
3.24,5,2.515401
3.24,5,2.531156
3.24,5,2.541516
3.24,5,2.553499
3.24,5,2.565048
3.24,5,2.582201
3.24,5,2.591572
3.24,5,2.600049
3.24,5,2.608399
3.24,5,2.622525
3.54,6,2.632773
3.24,5,2.641156
3.48,6,2.655205
3.24,5,2.664496
3.24,5,2.672803
3.24,5,2.685735
3.36,6,2.695706
3.24,5,2.705287
3.24,5,2.717715
3.24,5,2.72618
3.24,5,2.735327
3.24,5,2.747082
4.13,7,2.764129
3.34,6,2.779949
3.24,5,2.788871
4.31,7,2.80339
3.24,5,2.812344
3.24,5,2.82043
3.24,5,2.828299
3.24,5,2.84209
3.24,5,2.854648
3.24,5,2.864506
3.24,5,2.872973
3.24,5,2.887577
3.24,5,2.898665
3.24,5,2.909538
3.24,5,2.918781
3.24,5,2.934425
3.24,5,2.944615
3.24,6,2.95591
3.24,5,2.971021
3.24,5,2.981544
3.24,5,2.992131
3.24,5,3.002431
3.98,6,3.015596
3.24,5,3.024766
3.24,5,3.034126
3.24,5,3.049597
3.24,5,3.058619
3.24,5,3.066584
3.24,5,3.076228
3.24,5,3.090891
3.24,5,3.100788
3.24,5,3.110598
3.24,5,3.118698
3.24,5,3.131681
3.24,5,3.140155
3.24,5,3.15023
3.24,5,3.159115
3.24,5,3.173306
3.24,5,3.182044
3.55,6,3.191774
3.89,6,3.205045
3.24,5,3.212577
3.24,5,3.219474
3.24,5,3.232599
3.24,5,3.240908
3.24,5,3.251153
3.24,5,3.259305
3.24,5,3.273257
3.24,5,3.28155
3.95,6,3.29017
3.24,5,3.30423
3.24,5,3.312392
3.37,6,3.320792
3.24,5,3.333256
4.02,6,3.341411
3.24,5,3.352408
3.24,5,3.36597
3.24,5,3.374462
4.01,6,3.384063
3.24,5,3.401046
3.24,5,3.411147
3.24,5,3.42066
3.24,5,3.428521
3.24,5,3.443367
3.24,5,3.452431
3.24,5,3.460579
3.24,5,3.469034
3.24,5,3.482179
3.24,5,3.492314
3.24,5,3.501081
3.54,6,3.513582
4.14,6,3.521678
3.24,5,3.528739
3.98,6,3.543152
3.67,6,3.554096
4.12,6,3.572631
3.24,5,3.583929
3.24,5,3.59399
3.24,5,3.608809
3.24,5,3.617604
3.24,5,3.626169
3.71,6,3.640267
3.24,5,3.650156
3.24,5,3.663293
3.24,5,3.674499
3.55,6,3.689704
3.24,5,3.701134
3.24,5,3.709308
3.24,5,3.72068
3.24,5,3.728612
4.09,6,3.738149
3.24,5,3.755635
3.24,5,3.765732
3.24,5,3.775859
3.24,5,3.786558
3.24,5,3.804395
3.24,5,3.815598
3.24,5,3.825645
3.24,5,3.836734
3.57,7,3.854977
3.24,5,3.865471
3.24,5,3.881162
3.24,5,3.892329
4.28,7,3.909477
3.24,5,3.919407
4.03,6,3.929535
3.24,5,3.945258
3.24,5,3.95754
3.24,5,3.967914
3.24,5,3.976862
3.24,5,3.991479
4.17,6,4.002741
3.24,5,4.01054
3.24,5,4.023901
3.24,5,4.031889
3.24,5,4.040623
3.24,5,4.070491
3.24,5,4.087155
3.24,5,4.097081
3.5,6,4.108478
3.3,6,4.123019
3.24,5,4.13139
3.24,5,4.141768
3.24,5,4.157837
3.24,5,4.168821
3.16,5,4.178237
3.24,5,4.18826
3.24,5,4.202797
3.34,6,4.21187
3.24,5,4.220305
3.24,5,4.233598
3.24,5,4.244233
4.13,6,4.254287
3.24,5,4.271646
3.24,5,4.281708
3.36,6,4.292054
3.24,5,4.306099
4.13,6,4.314524
3.24,5,4.324476
3.24,5,4.340613
3.24,5,4.348988
3.24,5,4.358485
3.54,6,4.375733
3.79,7,4.386228
3.24,5,4.399365
3.24,5,4.40853
3.24,5,4.417767
3.24,5,4.427058
3.24,5,4.444763
3.24,5,4.454844
4.05,6,4.465251
3.24,5,4.481858
3.24,5,4.492268
4.01,6,4.50306
4.13,6,4.517977
4.1,6,4.527037
3.24,5,4.542381
4.09,6,4.553708
3.24,5,4.565351
3.27,6,4.595341
3.24,5,4.678015
3.24,5,4.690834
3.24,5,4.708872
3.91,6,4.721232
4.01,6,4.738688
3.24,5,4.749988
3.33,6,4.761749
3.24,5,4.77967
3.24,5,4.790765
3.24,5,4.80215
3.24,5,4.812904
3.24,5,4.829974
3.24,5,4.84149
3.24,5,4.852986
3.24,5,4.864892
3.24,5,4.882431
3.46,6,4.894298
3.24,5,4.905531
3.24,5,4.923293
3.24,5,4.935223
3.27,5,4.945477
3.24,5,4.956614
3.24,5,4.974773
3.24,5,4.986431
3.24,5,4.998116
3.24,5,5.008908
3.24,5,5.026237
3.24,5,5.037598
3.24,5,5.048847
3.47,6,5.066685
3.24,5,5.078042
3.24,5,5.089483
3.24,5,5.100576
3.74,6,5.117569
3.24,5,5.12845
3.24,5,5.139959
3.24,5,5.156965
3.24,5,5.168656
3.24,5,5.17984
3.24,5,5.191115
3.24,5,5.208305
3.24,5,5.219332
3.24,5,5.230705
3.24,5,5.241981
3.24,5,5.259246
3.24,5,5.270861
3.24,5,5.281944
3.24,5,5.293229
3.24,5,5.310212
3.24,5,5.321499
3.24,5,5.332627
3.24,5,5.3446
3.97,6,5.362158
3.24,5,5.373328
3.24,5,5.385016
3.24,5,5.404082
2.88,5,5.413952
3.24,5,5.424801
3.24,5,5.435379
3.43,6,5.453411
3.24,5,5.465655
3.24,5,5.476709
3.24,5,5.493188
3.97,6,5.505429
3.24,5,5.516409
4.69,7,5.533987
3.24,5,5.545331
3.24,5,5.562287
3.24,5,5.574606
3.24,5,5.58591
3.24,5,5.596971
3.24,5,5.613918
3.24,5,5.625524
3.24,5,5.636703
3.24,5,5.647965
3.24,5,5.664872
3.24,5,5.676566
3.24,5,5.688432
3.24,5,5.700237
3.24,5,5.718382
3.24,5,5.729658
3.24,5,5.740749
3.24,5,5.751943
3.24,5,5.769695
3.24,5,5.780652
4.16,6,5.79223
4.94,7,5.810347
3.24,5,5.821204
3.24,5,5.838463
3.24,5,5.850165
3.24,5,5.861041
3.24,5,5.873637
3.24,5,5.890924
3.24,5,5.903836
3.24,5,5.915873
3.87,6,5.93434
3.24,5,5.946287
3.24,5,5.958292
4.17,6,5.976531
3.24,5,5.988359
3.24,5,6.000188
3.24,5,6.011834
3.5,6,6.030854
4.11,7,6.050319
3.24,5,6.061942
3.24,5,6.074493
3.53,6,6.092228
3.24,5,6.103922
3.24,5,6.115736
3.24,5,6.12715
3.24,5,6.144739
3.24,5,6.157571
3.24,5,6.16948
3.24,5,6.181035
3.24,5,6.198079
3.24,5,6.210278
3.24,5,6.22189
3.24,5,6.233435
3.24,5,6.250873
3.24,5,6.262896
3.24,5,6.274157
3.55,6,6.291482
3.24,5,6.302808
3.24,5,6.314064
3.24,5,6.324998
3.24,5,6.342969
3.41,6,6.354634
3.26,6,6.372721
3.24,5,6.385131
3.24,5,6.397068
3.94,6,6.415772
3.24,5,6.42726
3.24,5,6.438334
3.59,7,6.456511
3.24,5,6.4675
3.24,5,6.479538
3.24,5,6.497257
3.24,5,6.508604
3.24,5,6.519885
3.24,5,6.531183
3.97,6,6.549298
3.7,6,6.561148
3.3,6,6.579896
3.24,5,6.59084
3.24,5,6.602289
3.24,5,6.619905
3.24,5,6.631095
3.24,5,6.642365
3.24,5,6.654321
3.24,5,6.67171
3.24,5,6.683742
1.25,4,6.692684
3.24,5,6.704537
3.24,5,6.715796
3.24,5,6.73422
3.25,6,6.747722
3.24,5,6.759505
3.24,5,6.778383
3.24,5,6.790566
3.24,5,6.803132
3.24,5,6.814592
3.47,6,6.831915
3.24,5,6.842916
3.87,6,6.860581
3.24,5,6.871872
3.8,6,6.883833
3.24,5,6.900609
3.75,6,6.913009
3.91,6,6.931129
3.24,5,6.944401
3.24,5,6.957796
3.62,6,6.976044
3.24,5,6.988228
3.24,5,7.001155
4.14,6,7.020686
3.24,5,7.033006
3.24,5,7.044383
3.24,5,7.056422
3.24,5,7.074973
3.78,6,7.090849
3.24,5,7.102792
3.24,5,7.12131
3.24,5,7.133131
2.6,6,7.144591
3.24,5,7.163909
3.24,5,7.175799
3.24,5,7.187924
3.24,5,7.199959
3.24,5,7.218891
3.24,5,7.230666
3.24,5,7.241977
3.24,5,7.254134
3.24,5,7.272648
3.24,5,7.28555
3.24,5,7.298122
3.84,6,7.317641
3.24,5,7.329438
3.24,5,7.341079
4.05,6,7.359487
4.01,6,7.371904
3.24,5,7.384582
3.24,5,7.402882
3.24,5,7.41567
3.24,5,7.429293
3.24,5,7.441159
3.24,5,7.460585
3.24,5,7.47298
3.24,5,7.486571
3.24,5,7.498416
3.96,7,7.517459
3.24,5,7.529064
3.24,5,7.547621
4.05,6,7.560223
3.24,5,7.572044
3.24,5,7.590286
3.27,6,7.603108
3.24,5,7.615216
3.24,5,7.633064
3.24,5,7.644456
3.24,5,7.656133
3.24,5,7.66729
3.24,5,7.686454
3.24,5,7.699075
