#{"t_start": 1774870734.4094055, "env_id": "None"}
r,l,t
2.88,9,0.033422
3.82,7,0.050396
2.25,6,0.0644
5.76,8,0.082477
3.67,6,0.094647
3.16,9,0.115478
5.39,9,0.140339
3.21,8,0.156845
3.51,7,0.169769
5.36,10,0.19013
2.42,4,0.198096
4.95,9,0.216284
3.57,7,0.234713
4.15,7,0.251329
5.4,10,0.268783
4.94,9,0.283968
4.58,6,0.476339
4.69,11,0.497302
5.42,9,0.51681
2.77,7,0.534523
2.63,6,0.546846
3.09,7,0.574988
4.55,9,0.597766
3.74,9,0.619994
3.85,9,0.64532
4.45,9,0.671221
2.18,5,0.685632
5.88,9,0.706709
3.62,7,0.723212
4.97,8,0.741749
2.87,6,0.758847
4.4,9,0.781234
3.32,7,1.008517
2.86,5,1.021412
4.17,8,1.03999
2.86,5,1.051689
5.51,10,1.075586
6.59,10,1.099216
2.23,6,1.115296
4.55,8,1.134744
4.01,8,1.153215
4.36,8,1.172329
3.0,7,1.190835
4.83,11,1.219702
3.35,7,1.237175
3.05,7,1.255162
1.88,6,1.269695
3.66,7,1.287308
3.94,7,1.304048
4.41,9,1.510206
3.44,6,1.526589
7.55,11,1.555817
4.24,8,1.574812
4.53,8,1.594513
3.2,6,1.61032
4.79,9,1.633761
2.82,4,1.645518
3.15,7,1.661948
3.86,8,1.681068
2.23,4,1.689131
4.28,9,1.711279
4.58,6,1.72782
2.4,6,1.744164
1.22,6,1.758661
3.39,8,1.7749
4.71,8,1.796027
1.82,4,1.806532
2.08,6,1.820651
4.99,9,2.051006
3.54,7,2.06806
3.48,5,2.079444
6.88,14,2.112153
4.36,6,2.126895
3.45,9,2.148833
5.31,9,2.168425
2.03,5,2.179728
3.66,7,2.196231
1.58,4,2.204154
4.99,8,2.221211
5.67,10,2.242625
3.99,7,2.259585
2.73,5,2.271665
3.71,8,2.28819
3.99,7,2.337691
3.9,7,2.383176
4.67,10,2.575298
4.24,9,2.593433
4.52,8,2.610475
4.04,6,2.622017
5.26,8,2.634401
3.94,8,2.6461
4.27,7,2.656267
2.69,6,2.664741
3.66,8,2.680531
3.42,7,2.695269
5.07,9,2.71706
4.47,8,2.738015
5.38,8,2.76001
3.43,9,2.777349
3.44,7,2.792673
4.58,9,2.814538
4.85,9,3.004321
8.69,14,3.026827
3.73,8,3.040369
4.38,10,3.062908
2.93,6,3.075929
4.44,8,3.092844
3.81,7,3.107762
1.56,5,3.118823
4.49,8,3.137978
3.18,6,3.148657
5.14,8,3.161912
4.21,6,3.172751
5.67,11,3.196153
7.73,12,3.222531
3.08,7,3.237061
6.03,10,3.450233
2.25,5,3.462112
4.07,9,3.484152
4.99,9,3.506721
4.64,11,3.533473
3.49,6,3.547577
1.27,4,3.557285
3.24,6,3.573452
