#{"t_start": 1774870860.3024533, "env_id": "None"}
r,l,t
1.8,6,0.036592
0.79,4,0.048971
3.7,9,0.079734
2.74,5,0.094753
4.98,10,0.126585
4.25,8,0.148723
1.56,5,0.164356
3.39,6,0.182196
1.15,6,0.197569
2.39,6,0.212237
4.53,9,0.239167
3.09,7,0.260789
3.46,7,0.27942
2.66,8,0.302196
2.28,6,0.330669
1.76,5,0.34481
2.78,7,0.364547
5.01,11,0.395103
3.61,8,0.416358
2.0,6,0.43589
3.42,7,0.457125
3.17,7,0.478145
4.79,8,0.500749
2.39,3,0.509709
4.53,10,0.537617
3.49,7,0.553886
2.37,6,0.569095
4.11,7,0.585479
2.97,6,0.601672
1.66,6,0.618541
2.38,8,0.641737
2.56,6,0.6589
2.78,6,0.678807
1.13,6,0.696197
1.92,5,0.711211
3.15,7,0.733747
3.07,5,0.749927
3.61,7,0.77179
2.45,6,1.245985
2.65,7,1.266438
4.48,8,1.290728
5.48,11,1.321927
5.69,9,1.355013
2.93,8,1.394199
2.93,7,1.430792
2.71,5,1.447124
2.82,6,1.465541
3.08,5,1.481958
3.93,8,1.510023
3.97,8,1.535935
2.99,6,1.555152
3.5,7,1.58628
4.82,9,1.612025
5.17,9,1.638488
3.64,7,1.660737
3.39,9,1.690076
4.92,8,1.713486
2.64,6,1.73405
5.76,10,1.765263
3.78,7,1.791987
5.56,8,1.819993
2.39,6,1.835597
2.81,6,1.859533
1.75,5,1.878367
2.64,4,1.888369
3.06,6,1.906793
3.02,8,1.935988
5.44,12,1.976686
3.79,6,1.996289
2.39,4,2.009491
4.67,5,2.029621
2.96,5,2.051464
3.65,6,2.066573
1.58,4,2.079544
4.5,9,2.609136
2.1,4,2.620002
3.53,7,2.63764
3.39,6,2.650675
3.09,7,2.666786
1.83,5,2.678054
3.59,6,2.693028
2.94,7,2.709662
2.69,5,2.720905
5.54,11,2.744833
4.52,7,2.759855
4.58,8,2.786042
1.68,6,2.800005
1.61,6,2.814152
3.13,6,2.828209
5.98,8,2.848022
4.42,8,2.865714
4.83,10,2.889952
2.86,8,2.908473
5.09,10,2.93119
3.12,6,2.945174
3.75,7,2.960648
3.03,6,2.974102
1.28,5,2.986618
4.72,9,3.006622
4.05,6,3.019939
1.76,5,3.046863
5.81,10,3.083301
4.19,8,3.110723
4.07,9,3.139777
2.54,5,3.151771
5.53,9,3.172082
2.34,7,3.188642
2.45,7,3.204107
0.51,3,3.211162
2.23,5,3.223488
4.11,8,3.241382
4.15,8,3.708419
4.74,11,3.742796
1.94,5,3.758312
4.31,11,3.79301
2.56,7,3.814856
3.13,6,3.835436
4.2,8,3.859291
6.85,11,3.889395
4.71,7,3.91426
4.95,9,3.946235
6.3,9,3.977125
2.6,8,4.005403
5.12,10,4.041734
2.7,8,4.12516
3.87,7,4.161135
4.62,7,4.181679
2.86,8,4.207989
3.9,9,4.235093
5.03,8,4.259784
3.01,8,4.282544
5.08,8,4.306289
2.29,7,4.326746
3.03,6,4.34469
3.36,8,4.367578
4.02,8,4.390153
2.72,5,4.405875
3.48,5,4.42198
3.04,6,4.439136
4.85,10,4.461655
3.03,7,4.476894
2.22,4,4.4855
4.62,9,4.505316
3.69,9,4.523672
1.26,4,4.909771
4.17,7,4.926528
6.08,13,4.957859
4.43,9,4.980664
2.82,10,5.008159
2.48,7,5.02855
5.64,12,5.057658
4.73,8,5.079037
4.72,6,5.095232
4.35,7,5.114774
4.85,11,5.141162
2.75,6,5.156281
3.8,6,5.170541
4.7,8,5.1904
3.29,8,5.210419
5.36,10,5.233162
1.07,5,5.246626
2.37,5,5.260014
3.77,9,5.285043
3.93,7,5.301089
3.08,9,5.324403
4.35,7,5.34303
2.98,7,5.361804
5.14,9,5.385451
4.29,7,5.403351
4.28,9,5.428586
2.45,11,5.458569
4.39,9,5.480811
4.4,9,5.506511
1.71,5,5.52008
1.88,5,5.534362
1.64,3,5.54271
3.71,8,5.564601
4.26,9,5.971018
3.15,6,5.983178
4.61,9,6.00205
2.76,8,6.021103
5.26,9,6.040958
1.59,7,6.055131
2.73,6,6.068564
5.36,9,6.087099
3.02,6,6.100457
2.5,7,6.117398
2.91,7,6.132388
2.89,7,6.146844
3.58,9,6.169077
2.49,7,6.185846
5.46,8,6.205275
6.22,11,6.231186
2.49,6,6.246546
4.15,7,6.266323
3.5,8,6.28786
2.69,5,6.303839
4.64,8,6.325618
2.84,8,6.346926
5.02,8,6.366779
2.6,6,6.383376
3.08,6,6.399013
2.11,4,6.40942
1.58,5,6.422126
2.44,6,6.438082
1.85,4,6.4492
2.57,5,6.461496
3.33,5,6.470825
5.67,11,6.493244
3.33,7,6.507939
3.99,8,6.528425
1.67,7,6.547446
1.93,7,6.566134
4.11,6,7.041672
6.01,11,7.068722
2.22,6,7.085029
4.79,9,7.10863
2.83,5,7.122952
4.84,7,7.138179
4.18,7,7.153865
3.36,7,7.171681
3.98,8,7.192358
3.3,7,7.207855
4.24,7,7.227712
1.98,4,7.238084
5.31,9,7.258853
3.42,6,7.273848
4.45,8,7.287952
2.32,5,7.297952
4.81,10,7.315816
1.74,4,7.323946
5.28,8,7.341773
3.98,8,7.358287
6.88,12,7.383676
4.03,7,7.399212
3.43,8,7.416823
4.89,8,7.436151
3.32,6,7.45237
2.59,7,7.470801
2.45,5,7.483569
2.16,5,7.497245
1.7,3,7.505083
4.26,9,7.527891
2.82,5,7.557729
3.57,9,7.582341
2.3,7,7.60157
3.08,6,7.619596
5.3,11,7.653535
5.41,9,8.167342
3.94,8,8.188647
2.06,5,8.20247
3.98,10,8.235303
1.59,6,8.252977
3.42,5,8.267493
5.07,8,8.291271
2.59,5,8.306573
4.52,10,8.334923
6.71,13,8.373848
2.78,5,8.388891
2.65,6,8.415277
4.6,7,8.435006
4.77,9,8.460422
5.93,8,8.482715
3.77,6,8.501728
3.03,8,8.524369
3.77,5,8.539193
4.5,9,8.564937
4.55,9,8.590331
5.16,9,8.620871
5.72,9,8.645091
2.95,5,8.65819
4.79,8,8.678997
2.61,5,8.692374
2.25,5,8.705837
4.23,6,8.720888
4.37,8,8.741841
5.37,10,8.858047
3.73,9,8.880587
2.62,6,8.89593
3.48,9,8.918631
3.96,7,8.936216
3.45,6,8.952651
6.69,10,8.978535
5.1,8,9.384021
3.66,7,9.401024
5.02,11,9.425994
4.99,7,9.442453
4.29,8,9.461336
4.34,8,9.479876
2.3,4,9.489189
4.85,9,9.50987
2.84,6,9.523919
6.44,10,9.548248
3.74,7,9.56444
3.61,9,9.585499
4.17,7,9.601533
1.85,4,9.610694
3.7,8,9.629277
4.9,8,9.648491
4.25,8,9.667601
3.77,8,9.686094
4.18,7,9.703811
4.69,10,9.727696
4.62,11,9.752911
5.63,10,9.776207
2.97,9,9.795528
5.38,9,9.815313
4.54,9,9.833567
3.81,7,9.848834
5.38,10,9.874868
5.64,10,9.899526
3.7,7,9.912398
3.23,7,9.924233
2.15,6,9.935684
4.49,8,10.324721
5.37,11,10.35038
5.51,9,10.367848
5.42,9,10.38503
3.99,7,10.399305
3.27,5,10.410169
2.58,5,10.420413
4.5,7,10.435719
4.96,8,10.452654
3.74,7,10.464234
4.25,7,10.474976
3.17,6,10.483768
3.76,7,10.497612
2.98,5,10.511968
