#{"t_start": 1774870448.4958587, "env_id": "None"}
r,l,t
1.95,4,0.02302
4.52,7,0.04215
4.23,7,0.060343
7.62,10,0.085526
3.81,7,0.104891
4.27,7,0.124151
6.8,8,0.148149
2.93,5,0.163188
3.3,7,0.180836
3.1,6,0.201027
5.57,10,0.230585
4.95,7,0.252389
4.26,7,0.273276
4.11,9,0.300919
6.15,7,0.316054
7.98,9,0.33588
7.25,12,0.361439
6.41,8,0.378225
4.04,5,0.388711
4.85,7,0.403013
2.64,5,0.413488
4.94,9,0.43221
4.93,11,0.455613
4.14,6,0.469765
3.97,7,0.484537
5.02,9,0.503736
3.45,6,0.516652
2.35,5,0.527018
2.94,5,0.537231
6.59,7,0.551027
3.99,7,0.564506
5.51,10,0.585428
4.1,7,0.599184
3.56,6,0.612499
4.7,12,0.636152
3.5,6,0.648648
2.52,7,0.663231
1.34,3,0.669637
3.44,6,0.682061
2.76,6,0.69472
1.86,6,0.70762
3.49,6,0.720358
4.23,7,0.735497
2.07,6,0.748019
2.95,7,0.763697
5.21,6,0.776771
4.5,8,0.793798
3.98,6,0.806782
3.78,6,0.819965
3.79,7,0.835661
7.02,12,0.869049
4.07,8,0.892654
4.61,7,0.912995
2.91,7,0.933444
5.03,8,0.955778
1.29,5,0.970953
4.91,8,0.992372
2.98,7,1.013248
3.19,7,1.034893
2.25,4,1.047488
5.43,11,1.081431
5.64,10,1.109934
3.2,6,1.127952
5.61,9,1.154039
2.88,5,1.167874
4.06,6,1.184427
3.37,7,1.20239
4.63,6,1.219988
3.37,8,1.243269
4.23,8,1.266868
4.2,9,1.291562
2.76,5,2.251679
4.59,8,2.269506
5.08,9,2.288462
3.51,6,2.297539
5.77,7,2.30943
3.66,6,2.321226
4.8,7,2.335905
8.21,14,2.367621
4.21,5,2.380327
4.27,6,2.394984
3.37,6,2.420538
7.16,13,2.456454
3.94,7,2.476019
3.72,7,2.494913
2.76,6,2.51138
2.76,5,2.524443
6.34,12,2.558173
2.38,5,2.571812
3.16,5,2.586392
4.97,12,2.62019
2.22,5,2.633894
7.15,11,2.66236
4.91,9,2.687822
6.2,10,2.714304
7.16,10,2.741158
4.04,7,2.759936
3.79,8,2.784282
4.74,12,2.820815
4.07,8,2.843913
2.38,4,2.856009
4.26,6,2.873436
4.97,7,2.891392
1.51,5,2.905136
5.82,9,2.930915
4.05,7,2.948979
6.43,10,2.992956
5.34,10,3.018292
4.82,9,3.042543
3.7,7,3.059933
6.4,9,3.082294
5.06,9,3.10455
5.04,10,3.129189
3.97,7,3.14682
8.13,10,3.167646
2.53,5,3.178913
5.15,9,3.198033
4.69,9,3.221205
5.02,8,3.243804
2.14,6,3.261284
5.71,8,3.283938
3.03,7,3.303962
4.37,8,3.324108
