#{"t_start": 1774867758.118999, "env_id": "None"}
r,l,t
2.05,4,0.022463
1.8,5,0.031594
1.52,4,0.038652
1.49,4,0.046977
1.55,4,0.054703
1.15,4,0.062577
1.4,5,0.072721
2.17,5,0.082812
2.32,5,0.092457
2.3,7,0.105344
1.92,5,0.115384
0.53,3,0.122716
1.5,5,0.134468
0.69,3,0.141116
1.1,4,0.150539
1.52,5,0.161421
1.18,4,0.169379
2.02,5,0.178529
1.41,4,0.186839
1.79,6,0.199138
1.65,4,0.207688
0.93,3,0.21361
2.04,6,0.225746
1.49,4,0.234008
0.84,4,0.24137
1.37,4,0.249184
0.91,4,0.257591
1.38,4,0.265327
2.33,5,0.440521
4.51,8,0.453702
2.15,4,0.459658
0.03,2,0.462739
1.07,4,0.468919
2.2,5,0.477211
2.21,8,0.490592
1.26,3,0.495181
1.26,4,0.501378
2.41,6,0.510403
0.93,4,0.516176
1.94,4,0.522127
1.57,6,0.530834
1.43,5,0.539449
1.44,5,0.546971
1.54,5,0.553887
1.01,3,0.558051
1.7,3,0.562304
2.59,6,0.570088
1.94,6,0.578313
0.85,4,0.584352
2.21,5,0.591202
2.05,7,0.600918
1.16,5,0.607428
2.46,6,0.615381
1.54,6,0.623386
3.47,6,0.791365
2.24,4,0.797832
1.76,4,0.803653
1.76,5,0.810161
1.28,4,0.814995
2.69,5,0.821134
1.26,4,0.826477
1.68,5,0.833207
2.23,4,0.838654
1.72,4,0.844462
2.24,5,0.851218
2.18,4,0.856567
1.89,7,0.865162
1.73,4,0.870423
2.13,4,0.875963
4.03,8,0.887962
1.72,4,0.893565
3.2,6,0.901614
3.14,7,0.910386
4.37,8,0.920042
2.24,5,0.926266
2.66,5,0.932336
2.2,5,0.938169
2.27,4,0.94336
1.49,4,0.948492
3.4,8,1.108276
1.24,4,1.115053
1.92,5,1.121958
1.75,4,1.127562
2.87,6,1.135271
3.47,5,1.142678
1.79,4,1.149012
2.07,4,1.155159
1.23,5,1.162297
2.77,7,1.172068
2.7,4,1.177506
4.21,7,1.187481
2.13,5,1.194282
1.49,4,1.199233
2.48,5,1.205578
1.03,3,1.209208
1.79,3,1.212719
0.87,4,1.21749
1.46,4,1.222431
1.67,4,1.22766
1.15,3,1.231515
1.68,4,1.236156
2.1,5,1.243381
2.56,5,1.250403
2.57,6,1.259126
0.89,4,1.265354
0.27,3,1.269515
1.21,3,1.27366
2.57,6,1.281197
3.16,7,1.446475
1.4,5,1.453272
2.11,5,1.460346
3.0,6,1.468006
0.98,4,1.472817
2.06,4,1.477944
1.84,5,1.484396
2.57,4,1.490422
1.84,5,1.497007
3.0,6,1.504825
1.65,5,1.51079
1.86,6,1.517954
1.74,5,1.524272
2.74,5,1.530632
0.86,4,1.535532
