#{"t_start": 1774947611.4931684, "env_id": "None"}
r,l,t
2.81,6,0.03752
6.79,12,0.080751
1.93,6,0.097176
2.12,5,0.112018
3.2,7,0.136259
4.9,10,0.190214
4.45,7,0.226668
3.44,9,0.271584
2.31,5,0.287464
2.78,6,0.305032
3.72,9,0.341284
3.5,6,0.364777
5.45,11,0.399908
4.48,8,0.424993
1.95,6,0.440191
3.5,7,0.456419
4.6,9,0.491487
3.22,6,0.522114
5.31,8,0.589689
2.79,6,0.636261
5.0,9,0.686053
2.57,6,0.717505
2.64,6,0.7386
4.45,6,0.75819
5.45,9,0.783366
4.35,8,0.885478
3.96,8,0.905124
3.82,7,0.923365
2.47,9,0.98487
5.18,10,1.045685
3.28,8,1.125226
4.97,9,1.160573
4.57,10,1.200311
2.28,6,1.715822
2.39,6,1.736678
5.76,12,1.774529
2.77,6,1.791646
2.12,5,1.806174
2.84,7,1.836753
3.84,7,1.864864
2.72,8,1.907071
3.36,7,1.961126
3.51,8,1.995311
4.28,7,2.014893
2.49,5,2.029403
3.5,5,2.044295
4.38,9,2.074694
5.99,10,2.110193
2.29,5,2.158803
4.46,8,2.215826
5.61,11,2.270427
3.46,8,2.314834
3.47,6,2.337959
5.26,9,2.361582
3.76,7,2.388199
3.14,6,2.430474
3.89,7,2.462991
3.16,6,2.4911
2.56,7,2.513607
4.39,6,2.54299
3.41,7,2.569726
3.71,5,2.588344
4.91,10,2.631323
2.11,5,2.65119
3.7,7,2.684164
4.0,7,2.702238
3.18,6,2.716217
3.88,6,2.736449
3.82,9,2.766335
5.4,11,3.293056
3.4,6,3.321358
3.79,7,3.344537
4.52,8,3.371218
3.97,7,3.406777
2.87,6,3.429303
4.86,9,3.465279
4.41,7,3.491675
4.59,9,3.523615
2.52,6,3.545485
3.36,6,3.577321
1.46,5,3.592757
3.25,7,3.610952
4.35,7,3.631874
5.75,11,3.671941
3.28,8,3.715113
3.93,10,3.753121
3.85,6,3.775753
2.58,6,3.826923
3.49,9,3.857311
2.55,6,3.879446
3.51,7,3.999851
3.82,8,4.051322
3.95,7,4.075673
5.3,10,4.196513
2.61,6,4.217564
4.06,6,4.236912
5.59,9,4.268013
4.17,8,4.293912
4.3,12,4.330739
5.41,8,4.360386
4.04,7,4.384784
2.72,5,4.413042
3.4,6,4.436743
3.58,9,5.076495
4.45,9,5.099314
3.4,6,5.113924
2.22,7,5.128943
2.82,4,5.139463
0.93,3,5.147308
2.75,8,5.210545
2.52,6,5.2356
2.97,6,5.256018
3.79,7,5.281621
2.64,5,5.296861
4.2,9,5.341327
3.25,7,5.36894
2.8,7,5.396963
3.08,7,5.420376
4.9,8,5.446951
2.65,6,5.465358
2.09,5,5.485772
4.72,10,5.517951
3.83,8,5.536854
3.5,6,5.554211
4.57,8,5.57331
3.88,6,5.587357
4.57,8,5.611002
4.61,8,5.630216
3.15,5,5.64558
4.46,8,5.672244
4.71,10,5.704228
3.12,7,5.724693
5.47,11,5.765315
2.92,7,5.789093
3.6,8,5.811839
6.46,11,5.850797
3.63,7,5.87606
5.85,9,5.907009
2.61,5,6.406888
1.46,4,6.42017
3.64,8,6.453009
1.96,5,6.473291
4.8,9,6.543478
2.5,6,6.56456
4.35,7,6.585693
2.15,6,6.603577
2.2,5,6.625352
3.01,5,6.640424
4.43,8,6.669312
3.77,6,6.693278
7.02,13,6.737682
4.31,8,6.770536
4.02,8,6.801602
3.91,8,6.832321
4.52,8,6.860312
3.89,10,6.896272
2.1,4,6.908885
5.48,9,6.936957
4.43,8,6.961219
4.14,8,6.983576
6.81,13,7.025706
3.92,6,7.045019
5.66,12,7.082164
3.44,6,7.100438
2.28,5,7.115642
2.87,6,7.132868
6.16,10,7.165025
2.95,6,7.182172
5.04,9,7.212718
3.52,9,7.237827
3.97,8,7.260721
3.26,7,7.280651
3.68,5,7.825598
5.93,9,7.854804
5.54,10,7.879403
6.22,11,7.903142
5.44,9,7.922181
3.51,8,7.939273
2.47,5,7.950109
3.12,7,7.965927
3.33,6,7.97874
4.51,6,7.991849
2.87,7,8.009721
3.68,6,8.022116
4.01,7,8.036965
2.88,5,8.046929
5.75,9,8.066564
3.97,6,8.079406
5.94,13,8.108341
5.59,7,8.123691
5.17,11,8.147844
3.58,7,8.16303
4.05,8,8.182073
3.86,6,8.195833
3.82,8,8.212851
3.11,6,8.225833
4.25,7,8.240572
2.22,5,8.25897
3.93,8,8.288535
3.02,5,8.301528
3.43,5,8.314467
5.29,9,8.336006
3.33,7,8.397214
3.96,6,8.424324
4.23,9,8.455037
5.43,11,8.486242
4.17,8,9.014743
3.92,8,9.041007
4.62,7,9.073035
5.69,10,9.121616
2.84,7,9.148314
3.08,8,9.179261
2.42,7,9.212771
4.68,11,9.266725
4.88,8,9.298841
3.59,6,9.315554
5.36,10,9.344659
3.01,7,9.394289
2.57,6,9.413445
3.18,6,9.427818
1.56,3,9.435619
3.98,8,9.476515
4.51,9,9.527361
3.66,7,9.545402
3.14,7,9.560766
6.21,11,9.585284
2.8,7,9.604123
2.43,4,9.615776
4.96,8,9.63855
5.79,7,9.655073
3.22,7,9.674347
2.73,6,9.688479
2.7,6,9.701228
3.98,7,9.71701
4.98,9,9.739711
4.25,8,9.761236
2.69,6,9.791874
3.45,6,9.828404
2.82,4,9.844251
2.65,5,9.87746
5.62,9,9.906653
6.43,12,10.527226
2.11,5,10.542635
4.53,11,10.578827
6.68,13,10.625491
5.11,11,10.659065
5.09,8,10.686706
6.13,12,10.728997
4.32,8,10.754499
4.07,8,10.781081
7.53,13,10.816753
5.03,9,10.848102
2.38,4,10.860074
4.28,8,10.883759
3.25,5,10.899081
4.51,7,10.93026
4.77,9,10.96183
5.29,9,10.993459
4.38,8,11.020016
4.37,8,11.049781
3.13,6,11.082925
7.17,12,11.124333
5.44,9,11.159869
3.61,7,11.181885
5.19,10,11.214525
3.82,7,11.347209
4.48,6,11.364358
5.52,11,11.397249
5.23,8,11.425503
2.33,7,11.450233
4.74,7,11.477048
5.32,10,12.061993
4.97,8,12.090116
3.86,5,12.108344
2.14,4,12.121679
4.27,6,12.142537
4.05,7,12.164202
3.56,7,12.185481
5.78,11,12.223028
3.37,5,12.240067
1.87,4,12.256395
3.71,6,12.274452
2.89,7,12.295608
5.85,9,12.325412
4.09,7,12.34748
4.25,7,12.367872
2.29,6,12.384646
3.68,6,12.402559
4.76,7,12.424209
2.53,7,12.444546
4.89,8,12.470357
4.45,9,12.496372
5.83,12,12.526172
5.29,9,12.545973
3.58,7,12.561685
5.65,11,12.586187
4.35,9,12.606673
5.62,10,12.628791
3.39,6,12.641616
4.33,7,12.656304
5.99,11,12.679325
2.32,6,12.69218
3.23,5,12.703187
4.63,6,12.716485
5.74,10,12.737318
5.28,9,13.193271
3.77,6,13.211022
4.05,8,13.234452
5.46,9,13.263107
4.54,9,13.293272
5.17,9,13.322493
5.08,12,13.361719
4.57,10,13.393965
5.59,12,13.428957
3.65,7,13.452332
3.71,6,13.474024
5.8,11,13.506437
1.94,3,13.515772
6.6,11,13.556473
4.13,7,13.578719
4.59,7,13.604568
4.76,8,13.636416
2.36,4,13.655213
4.13,9,13.704417
5.5,8,13.728376
5.04,8,13.755491
3.95,6,13.772013
6.48,10,13.804862
3.83,7,13.826969
7.02,13,13.868771
5.93,10,13.894249
6.89,13,13.923301
1.48,5,13.934522
2.67,4,13.945822
4.05,8,13.967969
6.15,9,13.994337
3.82,6,14.642348
4.24,8,14.665764
6.37,10,14.693535
5.65,10,14.719901
4.32,8,14.741751
5.53,11,14.776993
4.07,6,14.792597
3.08,5,14.836769
5.77,10,14.864856
3.23,7,14.885325
