#{"t_start": 1774867888.0723808, "env_id": "None"}
r,l,t
1.19,4,0.027575
2.24,6,0.03966
1.5,5,0.050403
1.8,4,0.059505
0.88,3,0.065778
3.32,6,0.077776
3.53,7,0.091362
3.16,8,0.107186
1.05,6,0.120387
1.05,4,0.130372
1.88,5,0.140877
2.49,7,0.155085
2.83,6,0.168495
1.41,3,0.175687
0.35,3,0.182394
2.63,5,0.193339
1.14,5,0.204867
2.51,4,0.214233
3.4,7,0.232426
2.9,6,0.245042
3.05,8,0.262539
2.67,5,0.27317
2.38,5,0.283587
1.01,5,0.29382
1.79,4,0.301361
2.85,7,0.314182
0.58,4,0.322803
0.25,3,0.329772
1.02,6,0.341779
2.68,4,0.349801
0.92,4,0.358315
2.55,6,0.370224
1.05,3,0.376303
1.45,4,0.38447
3.06,7,0.398243
1.75,4,0.405783
1.27,7,0.419986
1.44,3,0.428235
2.9,6,0.442511
1.54,6,0.454234
0.75,3,0.461925
0.27,3,0.468337
2.25,4,0.476789
1.58,4,0.48501
1.7,6,0.496909
1.79,4,0.50519
2.83,6,0.51732
2.32,6,0.532676
0.47,5,0.543053
1.04,4,0.550419
1.23,5,0.560033
1.99,5,0.569749
1.16,5,0.579439
0.92,3,0.584966
2.74,6,0.595598
1.57,4,0.602922
1.93,4,0.609438
1.78,6,0.619706
1.56,3,0.625948
1.97,6,0.636526
0.69,4,0.642525
3.21,6,0.651707
1.75,5,0.660729
1.18,3,0.666013
1.34,4,0.671994
0.81,4,0.678056
2.85,5,0.686054
0.61,3,0.691177
1.22,4,0.69822
2.0,5,0.706787
1.24,4,0.713851
0.98,3,0.719143
1.97,5,0.729368
2.47,5,0.737438
1.56,5,0.743201
2.88,9,0.755024
2.07,5,0.763378
1.48,5,0.771497
2.3,5,0.779614
1.17,3,0.784288
1.59,4,0.790421
2.42,6,0.79983
2.07,4,0.805915
2.66,7,0.813718
1.08,4,0.817682
2.41,5,0.824652
3.75,8,0.838934
3.12,8,0.851496
0.82,3,0.855696
2.19,5,0.863374
2.29,5,0.870505
2.12,4,0.875856
3.09,6,0.883848
1.79,5,0.890643
1.29,5,0.897192
1.98,4,0.90668
1.43,4,0.913275
3.92,8,0.927301
2.7,6,0.950611
2.08,5,0.994081
2.07,6,1.03139
0.68,4,1.039089
2.51,5,1.048188
1.44,4,1.809068
1.68,6,1.821499
2.32,5,1.832181
0.66,3,1.838369
1.54,5,1.848019
1.96,5,1.858184
1.74,5,1.867984
2.65,5,1.877105
0.88,3,1.882326
1.66,4,1.889845
2.07,5,1.899436
1.62,6,1.910598
2.08,5,1.919505
2.62,6,1.931612
1.3,6,1.945135
1.43,4,1.953477
2.9,5,1.962964
1.84,5,1.972799
2.16,3,1.978663
1.15,5,1.98785
0.31,4,1.995327
3.04,9,2.012367
1.29,5,2.022333
2.61,8,2.039587
0.65,3,2.045511
1.22,7,2.059101
1.71,5,2.068349
1.4,5,2.077108
2.1,6,2.088042
3.2,6,2.098001
3.25,7,2.112154
1.33,7,2.12675
1.47,4,2.135197
0.34,3,2.142345
1.91,8,2.158662
1.52,4,2.167454
0.87,4,2.175878
1.38,4,2.184176
2.83,8,2.199219
1.18,4,2.20736
1.73,4,2.215118
1.33,5,2.225752
0.93,5,2.236398
1.73,5,2.248195
2.12,7,2.262309
2.3,6,2.27439
2.78,6,2.286465
2.33,5,2.296524
1.58,4,2.304515
1.26,4,2.312079
2.79,6,2.32269
1.37,3,2.328172
3.27,6,2.340041
1.59,4,2.347805
1.7,4,2.355779
0.17,3,2.36118
3.53,7,2.373574
2.04,6,2.384322
1.95,5,2.393837
1.78,6,2.406477
3.57,6,2.418318
1.86,6,2.429975
0.84,3,2.43616
2.39,5,2.447053
2.94,6,2.458032
1.31,4,2.465267
0.85,4,2.473177
1.19,5,2.482068
1.9,5,2.491504
0.83,3,2.497051
1.69,4,2.504503
1.55,5,2.514275
1.29,4,2.521965
3.69,7,2.536328
2.6,6,2.548359
1.5,3,2.553996
3.4,7,2.56727
2.62,5,2.57678
2.23,5,2.585874
1.6,4,2.593426
2.81,5,2.6034
2.57,6,2.614817
2.9,5,2.624141
1.11,6,2.634662
1.59,5,2.644231
1.67,4,2.652329
2.6,6,2.663658
2.74,10,2.682087
2.12,5,2.69128
1.08,3,2.696892
4.52,8,2.71297
2.74,7,2.726585
3.08,6,2.737364
1.29,5,2.746347
2.52,8,2.760236
2.07,6,2.77053
3.56,7,2.782658
2.32,6,2.794273
4.87,9,3.572161
3.63,7,3.586304
1.6,5,3.595613
