#{"t_start": 1774868371.2087033, "env_id": "None"}
r,l,t
1.03,4,0.018921
2.41,5,0.025125
1.74,4,0.029576
1.14,5,0.035453
1.3,3,0.038747
1.7,5,0.044009
1.38,4,0.05033
2.48,5,0.057744
2.04,8,0.066066
2.28,5,0.072226
1.79,5,0.079319
1.02,5,0.086176
3.75,6,0.095413
1.86,5,0.102758
0.94,3,0.107543
2.66,7,0.117489
1.7,4,0.124342
2.82,6,0.134242
1.88,5,0.142127
1.15,4,0.147372
1.55,4,0.151489
1.68,3,0.155393
1.63,5,0.162018
2.16,5,0.167811
2.26,5,0.175042
2.33,7,0.185086
2.07,5,0.191536
1.06,5,0.198062
1.38,4,0.203955
1.41,4,0.20912
1.52,4,0.213957
3.26,5,0.22395
1.89,4,0.228853
0.86,3,0.23188
2.65,6,0.239529
2.28,5,0.246267
2.48,7,0.2545
2.51,6,0.260859
2.28,6,0.266981
3.12,6,0.274757
3.62,7,0.285872
3.21,5,0.292491
2.47,5,0.299665
3.01,6,0.307671
0.82,4,0.313164
1.0,4,0.317266
1.58,4,0.322294
0.93,3,0.325596
2.52,5,0.33139
2.41,6,0.338698
1.68,5,0.344852
3.35,5,0.351137
0.21,4,0.356287
1.6,3,0.36014
2.15,6,0.366268
1.88,6,0.371721
0.57,4,0.375958
1.15,5,0.383192
1.91,5,0.388541
1.52,4,0.392863
2.25,5,0.39913
0.3,3,0.402313
2.89,6,0.410056
0.63,5,0.416161
1.67,4,0.421735
1.31,3,0.425868
1.6,4,0.430627
0.61,3,0.434664
2.37,6,0.441648
2.81,6,0.449919
0.64,4,0.454991
2.34,5,0.461366
1.65,5,0.468444
0.99,3,0.472731
1.74,5,0.481133
1.29,4,0.487724
2.51,5,0.495452
1.02,4,0.501501
0.69,3,0.504465
1.92,7,0.514429
1.2,4,0.520104
2.77,7,0.530287
2.74,5,0.536832
1.05,4,0.542202
1.85,5,0.549876
1.14,4,0.554842
1.22,4,0.559475
2.59,6,0.566099
2.28,5,0.571764
0.73,4,0.57568
2.93,5,0.581656
2.47,4,0.586966
1.68,3,0.592771
2.26,4,0.598763
2.87,6,0.605462
1.02,3,0.610264
1.54,4,0.616482
2.94,6,0.623744
1.7,5,0.630672
1.2,4,0.635273
1.17,4,0.640016
1.12,3,0.643226
0.49,3,0.647032
0.96,3,0.650489
1.99,5,0.655923
1.67,6,0.66192
0.67,4,0.665885
0.48,3,0.668648
1.27,4,0.672288
1.25,6,1.246202
2.12,4,1.249993
1.24,5,1.254463
4.91,11,1.264747
1.01,4,1.268552
2.18,5,1.272998
2.63,4,1.276734
4.02,6,1.282278
2.13,4,1.286701
2.21,6,1.292546
1.9,3,1.295379
1.94,5,1.299873
1.7,5,1.304408
2.68,5,1.309143
1.8,5,1.31388
1.73,6,1.320854
2.09,6,1.327647
3.84,7,1.334068
2.1,4,1.339213
1.89,6,1.345324
1.63,6,1.352357
1.38,3,1.355443
1.54,4,1.360001
0.56,4,1.363964
3.92,6,1.370275
2.49,4,1.374661
3.38,6,1.380116
2.36,5,1.385143
1.02,3,1.3886
1.25,5,1.394295
2.41,7,1.401065
2.25,5,1.405754
1.92,4,1.409635
1.68,3,1.412333
0.13,3,1.415148
2.23,7,1.42301
2.4,4,1.427795
1.39,4,1.431427
1.63,4,1.435243
4.68,7,1.442384
1.75,5,1.446929
1.35,4,1.45108
1.05,4,1.455661
2.31,4,1.459712
2.4,7,1.467112
1.54,6,1.473481
2.26,5,1.478466
1.1,3,1.484795
3.28,6,1.491583
2.24,4,1.4962
0.93,3,1.498973
1.17,4,1.502722
3.04,5,1.507945
1.71,5,1.513058
1.06,4,1.517022
2.0,5,1.522202
2.57,5,1.527064
1.18,3,1.530087
2.62,6,1.535949
0.37,3,1.53873
1.14,4,1.542721
1.24,3,1.545704
1.05,4,1.549651
2.44,5,1.554289
1.46,4,1.558668
2.73,6,1.566837
1.9,5,1.573734
1.18,5,1.578907
3.84,6,1.585924
1.47,4,1.592354
2.35,5,1.599418
2.44,5,1.606236
2.38,5,1.612811
1.78,5,1.6188
0.88,3,1.622264
2.11,5,1.626808
3.84,6,1.632276
2.25,8,1.63962
2.17,5,1.644132
2.22,4,1.649743
1.06,4,1.655132
3.12,6,1.662969
1.93,4,1.668189
1.28,4,1.673041
0.24,4,1.678365
1.93,5,1.685069
1.4,6,1.691694
1.53,4,1.695416
2.26,6,1.700992
2.45,4,1.704723
3.15,5,1.70994
1.1,4,1.71392
2.08,5,1.718463
0.79,2,1.720382
1.72,4,1.72655
1.69,4,1.730875
1.25,4,1.734807
0.79,3,1.737588
1.33,5,1.742494
1.75,6,1.748676
0.67,4,1.753902
1.93,4,1.758282
1.4,6,1.765233
1.48,5,1.772562
2.07,4,1.777832
1.27,4,1.783299
1.18,4,1.788565
2.68,5,1.796568
2.32,6,2.508373
1.63,5,2.516626
1.99,9,2.531223
2.04,5,2.539556
3.26,8,2.549534
2.79,5,2.557062
1.22,4,2.564003
4.21,8,2.575233
4.69,8,2.584655
1.41,5,2.590922
1.9,5,2.599038
1.04,3,2.604292
1.79,5,2.613853
0.5,4,2.62135
2.14,5,2.630603
2.45,4,2.638572
2.77,6,2.649306
0.33,4,2.656381
1.46,4,2.661695
1.3,3,2.66686
2.09,4,2.672142
1.45,3,2.676369
0.77,5,2.68288
1.41,5,2.689726
1.34,3,2.694281
2.61,4,2.700994
3.43,6,2.708816
1.43,4,2.715213
1.75,5,2.723412
2.84,6,2.732774
2.34,6,2.743463
1.74,5,2.754107
2.48,4,2.762371
2.63,5,2.77106
1.8,4,2.77634
1.24,3,2.780555
2.78,5,2.787392
1.9,4,2.793118
2.43,4,2.800467
1.98,5,2.807975
0.49,3,2.811878
1.46,5,2.818247
1.84,3,2.822064
1.78,5,2.829116
1.66,3,2.83369
1.19,3,2.840544
2.21,6,2.850255
3.85,7,2.860839
1.5,3,2.865873
2.74,5,2.873517
2.49,5,2.879003
1.51,3,2.88301
3.72,6,2.891791
2.46,6,2.899857
1.86,4,2.906052
1.87,4,2.910936
1.91,4,2.916146
1.65,5,2.923652
3.22,5,2.93183
2.1,4,2.937671
1.53,4,2.941981
1.14,4,2.946376
2.46,5,2.953163
1.81,5,2.959216
2.82,5,2.966039
3.03,7,2.975024
1.65,4,2.980896
2.17,6,2.990197
2.77,5,2.998338
1.9,7,3.010789
2.55,5,3.018734
3.17,7,3.028589
2.0,4,3.034
3.81,8,3.043466
2.0,5,3.049993
2.87,5,3.057727
1.5,3,3.063996
2.12,4,3.07242
2.51,4,3.080781
1.21,5,3.091247
2.81,5,3.101758
2.31,4,3.109954
0.82,3,3.115333
1.06,3,3.119996
1.7,5,3.127748
0.37,3,3.132156
1.77,6,3.140943
1.28,5,3.147924
1.34,5,3.155444
2.09,5,3.164974
0.7,5,3.174032
2.17,5,3.18191
1.3,5,3.187423
2.41,4,3.191608
2.35,4,3.195294
2.16,4,3.199077
1.17,5,3.205318
2.82,6,3.211246
0.84,3,3.214393
0.9,5,3.219761
1.91,5,3.225729
1.55,4,3.23117
3.22,6,3.238736
2.33,5,3.245521
1.83,4,3.251362
2.76,5,3.27127
1.49,3,3.27771
1.37,5,3.895124
2.21,4,3.900409
1.0,4,3.905885
4.58,9,3.918766
3.1,5,3.924372
2.43,5,3.929034
2.24,4,3.932667
1.83,5,3.937355
1.21,4,3.941108
2.01,6,3.946749
1.98,7,3.953303
2.94,7,3.959822
2.93,6,3.967618
3.08,5,3.973575
2.36,5,3.978276
1.59,4,3.981937
1.68,4,3.987087
2.15,4,3.992646
3.97,9,4.005338
5.24,10,4.01818
3.0,7,4.025971
1.29,5,4.03114
3.83,7,4.040653
2.89,5,4.047755
2.08,5,4.05515
1.17,3,4.059869
1.27,5,4.068083
3.34,6,4.07828
3.44,7,4.088734
4.1,7,4.099087
1.65,6,4.108272
2.15,5,4.116262
1.9,5,4.124776
2.86,7,4.136618
2.42,5,4.144891
1.94,7,4.155989
2.26,4,4.16329
1.52,4,4.170571
2.72,6,4.180496
2.92,6,4.18996
2.3,5,4.197578
1.86,6,4.207064
1.75,4,4.21254
4.04,7,4.219823
0.88,5,4.224738
2.53,6,4.230925
