#{"t_start": 1774871559.5443785, "env_id": "None"}
r,l,t
2.36,4,0.024637
2.75,6,0.039665
2.53,7,0.055975
2.12,5,0.06947
2.17,7,0.089347
4.56,8,0.109278
4.36,8,0.129426
3.62,8,0.148929
2.69,8,0.170268
2.96,7,0.189465
3.64,11,0.219685
1.38,4,0.231197
2.23,4,0.242284
3.85,7,0.261383
1.76,6,0.277742
3.63,9,0.295726
3.29,8,0.315527
2.27,7,0.330168
3.35,7,0.528177
6.0,10,0.551891
2.22,7,0.565567
2.79,5,0.580122
3.61,10,0.604795
1.43,4,0.614282
3.57,8,0.629682
2.85,5,0.64001
3.34,6,0.650679
3.39,9,0.672681
2.33,7,0.6891
2.5,5,0.702598
4.44,9,0.72258
3.67,12,0.745251
3.93,12,0.771535
1.76,6,0.786626
3.63,8,0.80671
4.68,7,1.031978
4.72,9,1.054947
2.8,6,1.070623
2.69,5,1.085365
2.73,6,1.103105
3.9,5,1.117533
3.51,7,1.135514
2.78,7,1.154028
2.14,5,1.170517
1.12,5,1.185228
2.86,7,1.205491
5.42,8,1.227311
4.88,8,1.249345
2.21,5,1.264151
5.66,9,1.291034
2.52,5,1.304851
3.56,7,1.325146
4.69,9,1.349023
2.4,4,1.359168
3.99,8,1.610731
2.78,7,1.668803
1.84,5,1.680185
4.48,9,1.700447
5.02,9,1.728851
2.74,7,1.745332
3.53,7,1.76173
3.48,4,1.771783
6.01,10,1.796332
2.06,4,1.80507
6.41,12,1.838631
2.34,6,1.853017
4.62,9,1.877108
1.98,4,1.89022
5.12,10,1.916456
3.64,7,1.935086
1.67,7,1.953186
3.1,7,1.972487
1.49,5,2.187942
3.74,7,2.201582
3.2,6,2.217732
6.23,10,2.243051
1.47,5,2.254438
3.02,7,2.272716
2.92,7,2.289728
2.12,5,2.299951
2.28,7,2.31553
3.28,8,2.337012
3.31,6,2.351533
1.63,5,2.364491
3.93,8,2.386192
3.16,8,2.408335
2.62,6,2.42328
1.74,4,2.431504
6.26,10,2.456836
3.27,7,2.472974
3.5,7,2.4874
5.13,10,2.697271
5.06,7,2.70998
4.67,7,2.725257
4.61,9,2.74713
4.16,6,2.760469
2.82,8,2.778145
4.11,7,2.796422
2.46,7,2.816068
4.01,8,2.836264
2.82,7,2.85265
3.6,5,2.864853
3.84,8,2.880185
1.76,4,2.889858
4.31,9,2.908493
3.84,9,2.929947
3.7,8,2.949533
3.1,6,2.963684
2.38,6,3.185691
5.69,10,3.213458
4.07,8,3.235585
2.45,5,3.248466
5.26,9,3.27116
4.14,10,3.293781
3.79,10,3.315936
4.43,8,3.3377
1.43,5,3.351184
1.8,5,3.363449
5.77,10,3.384219
2.21,3,3.392944
3.72,7,3.413527
5.62,9,3.437747
1.87,7,3.455559
2.82,6,3.472085
1.53,6,3.487504
5.05,9,3.510967
3.56,7,3.761158
3.63,7,3.782878
1.16,4,3.798189
4.78,8,3.819293
