#{"t_start": 1774853619.164841, "env_id": "None"}
r,l,t
0.99,4,0.009157
1.6,5,0.010463
1.75,5,0.011631
2.13,7,0.013391
2.05,6,0.014932
1.88,3,0.015761
1.44,3,0.016583
2.72,5,0.017694
4.35,8,0.019812
0.84,4,0.020747
1.47,5,0.021888
0.92,3,0.022695
2.81,5,0.024116
3.47,6,0.025625
1.43,5,0.026975
4.34,7,0.028514
1.72,4,0.029611
1.93,6,0.030972
2.46,6,0.032283
3.17,7,0.034013
1.63,5,0.048899
0.9,5,0.057054
2.15,6,0.066537
1.65,4,0.073841
0.15,4,0.081567
1.55,5,0.095612
1.91,5,0.103089
3.05,7,0.118664
1.39,4,0.126529
1.38,3,0.127621
2.32,6,0.141941
0.1,3,0.148786
0.88,4,0.156152
1.34,5,0.164328
1.63,4,0.171595
3.38,8,0.186354
1.11,3,0.193412
1.38,5,0.201058
0.77,4,0.208019
1.4,4,0.215333
1.05,4,0.222443
1.61,5,0.229818
2.63,6,0.24387
3.69,7,0.252181
1.95,5,0.268111
0.99,4,0.275234
0.98,3,0.27632
2.4,6,0.290165
2.63,4,0.297433
1.21,4,0.304695
1.55,4,0.312012
1.2,4,0.320126
1.71,5,0.32955
1.37,3,0.337484
2.66,6,0.346022
1.77,5,0.360833
2.35,5,0.370888
1.73,5,0.379206
2.58,6,0.393322
1.65,4,0.400927
1.25,5,0.417707
1.6,4,0.425285
1.38,3,0.432401
2.05,6,0.44135
1.63,5,0.450008
2.1,5,0.463476
4.16,9,0.47962
1.56,4,0.487334
0.91,4,0.496324
0.97,3,0.5038
1.06,4,0.511195
1.87,4,0.518337
0.3,5,0.527004
2.57,5,0.535862
1.29,3,0.543288
2.16,5,0.551784
1.97,5,0.561709
2.86,5,0.576795
0.93,3,0.577847
1.85,5,0.592383
2.25,5,0.600753
1.42,4,0.608244
2.0,4,0.61651
2.52,6,0.624962
2.06,4,0.63384
1.42,4,0.642038
3.71,8,0.656735
2.57,6,0.671367
1.61,6,0.680883
0.63,3,0.688403
2.88,5,0.69684
3.2,7,0.7124
2.62,5,0.721548
1.3,3,0.728799
1.52,5,0.737519
1.76,4,0.744841
0.06,3,0.752539
1.96,6,0.766596
1.31,4,0.775949
1.15,5,0.784815
1.85,4,0.792424
2.27,6,0.800574
2.36,5,0.814719
0.65,3,0.815764
2.65,7,0.831499
0.72,4,0.839525
1.09,3,0.847482
1.93,5,0.856952
1.02,3,0.864309
1.42,4,0.872781
0.56,3,0.880067
1.85,4,0.887766
1.31,3,0.890127
2.26,4,0.897559
2.18,5,0.912226
0.78,3,0.91333
3.16,8,0.930616
1.49,4,0.93815
1.64,4,0.94906
2.58,7,0.965069
1.02,4,0.973585
2.31,5,0.982106
1.75,4,0.98948
1.81,4,0.997326
3.93,7,1.014026
2.96,6,1.032111
2.15,4,1.039641
2.25,4,1.046865
1.25,4,1.055384
1.45,3,1.056451
1.54,4,1.064081
1.71,5,1.078569
1.63,6,1.088483
1.82,5,1.09614
2.11,5,1.109652
1.8,5,1.117367
1.6,4,1.125753
1.18,3,1.132641
1.23,6,1.140671
1.63,4,1.148927
1.77,5,1.158896
2.81,6,1.173729
0.96,4,1.181165
2.12,7,1.196146
1.29,4,1.203968
2.49,7,1.212547
2.0,5,1.226231
0.71,3,1.227385
1.73,5,1.24242
0.55,4,1.249994
2.53,5,1.258331
1.27,4,1.265731
0.94,4,1.275982
2.37,6,1.286145
1.7,5,1.302219
1.19,4,1.309972
3.7,8,1.325217
1.66,4,1.333359
1.05,3,1.334421
2.48,5,1.348361
1.49,5,1.358331
2.03,5,1.366532
1.53,5,1.377626
2.52,5,1.392408
1.19,5,1.402115
2.92,7,1.417653
1.45,4,1.426504
1.09,3,1.427705
2.77,7,1.442712
1.25,4,1.450214
3.25,7,1.465274
3.36,6,1.475329
0.68,3,1.482573
2.96,6,1.497161
2.2,6,1.504901
2.22,5,1.51246
1.47,7,1.528215
0.85,3,1.535367
1.54,5,1.544206
2.09,5,1.55178
1.55,4,1.559861
1.35,4,1.569026
3.2,7,1.585417
1.56,5,1.594446
1.53,5,1.609337
2.1,6,1.618759
0.24,3,1.625897
1.4,5,1.633481
1.46,5,1.643883
0.87,3,1.651049
2.82,7,1.668377
2.14,4,1.676643
3.03,5,1.684985
1.25,5,1.693518
2.74,6,1.709369
0.62,3,1.717138
1.5,3,1.71856
2.01,5,1.734464
1.94,7,1.745607
1.5,4,1.752969
0.73,4,1.761528
2.44,6,1.777981
1.69,4,1.786941
1.29,3,1.799567
2.05,5,1.808299
1.46,5,1.816817
2.13,4,1.824311
1.84,6,1.840194
0.6,3,1.841632
2.05,6,1.878251
2.14,5,1.891912
1.82,7,1.917368
2.47,6,1.931614
1.94,6,1.949683
2.64,7,1.969201
2.03,6,1.980303
1.36,4,1.987958
1.63,5,1.99586
2.05,6,2.011414
2.02,5,2.018641
2.11,5,2.027324
2.75,7,2.044074
2.11,7,2.061201
1.5,4,2.069579
2.12,5,2.081079
2.09,5,2.091402
1.22,3,2.097967
1.54,5,2.107245
1.97,6,2.125089
1.94,4,2.132736
1.37,3,2.139368
2.15,6,2.149084
2.97,6,2.162723
1.46,4,2.173025
2.19,7,2.184887
1.86,4,2.19322
2.02,6,2.208174
2.18,6,2.220056
2.19,6,2.236921
1.92,5,2.248103
4.77,9,2.268946
1.57,4,2.278219
1.16,4,2.288774
2.16,5,2.306082
1.68,5,2.31857
2.07,4,2.329205
0.94,5,2.339298
1.0,5,2.350215
3.42,9,2.379691
1.6,5,2.388696
1.58,6,2.398899
1.02,3,2.407333
2.33,5,2.416456
2.01,6,2.432419
1.36,4,2.441473
1.25,4,2.451043
3.45,8,2.472658
0.88,4,2.481498
2.32,5,2.490716
1.9,5,2.500163
2.13,4,2.507516
3.41,6,2.522268
3.22,7,2.538909
1.47,3,2.539957
2.03,5,2.555084
3.09,7,2.566077
2.96,7,2.583231
1.53,4,2.592303
1.39,3,2.600262
2.27,6,2.611255
1.62,3,2.618903
3.32,6,2.634724
2.81,7,2.645192
1.7,4,2.652683
2.32,6,2.667937
1.98,6,2.678892
1.98,5,2.694003
1.2,4,2.702746
1.6,5,2.711783
2.47,6,2.721334
1.58,4,2.72996
2.78,6,2.744531
1.76,5,2.754772
1.67,5,2.763809
0.57,3,2.772094
1.56,6,2.788895
1.86,4,2.796445
2.36,7,2.807534
0.85,4,2.815094
1.53,5,2.831191
1.89,5,2.840674
2.01,5,2.849835
1.88,5,2.85881
1.66,4,2.866329
1.71,5,2.881441
3.11,8,2.899996
2.03,7,2.910847
2.39,5,2.925453
0.98,4,2.933928
2.59,7,2.942718
1.31,4,2.950491
1.52,5,2.966342
2.0,5,2.976926
2.97,7,2.995373
1.57,5,3.006678
3.76,9,3.025566
3.08,7,3.042658
1.57,5,3.054545
1.73,7,3.072216
2.77,6,3.081906
2.1,5,3.097133
0.95,4,3.107302
3.05,7,3.117318
3.9,7,3.132744
0.87,3,3.140625
2.49,5,3.149848
0.71,4,3.15886
2.5,6,3.175284
1.25,5,3.183774
2.05,5,3.193881
2.24,6,3.209915
2.7,5,3.219459
1.38,4,3.228083
3.22,7,3.24406
3.09,7,3.253679
2.59,6,3.270096
1.0,4,3.277426
0.97,4,3.285644
1.88,6,3.296947
0.83,4,3.305393
2.74,6,3.32216
0.96,5,3.331744
1.29,6,3.347824
1.5,7,3.358072
1.57,5,3.375414
2.75,6,3.385747
1.85,5,3.396605
1.3,4,3.405671
3.29,6,3.420377
3.5,10,3.439185
1.49,5,3.453265
1.37,7,3.464952
2.93,7,3.481139
2.03,4,3.489674
2.17,6,3.506965
1.43,5,3.51607
1.36,4,3.524507
1.85,6,3.534604
1.04,4,3.54331
2.98,6,3.555711
1.51,7,3.569391
2.1,7,3.577308
3.13,6,3.589641
3.07,7,3.607212
1.75,4,3.615007
2.08,8,3.629807
1.88,4,3.63613
1.52,5,3.642715
3.28,11,3.661597
2.38,9,3.674489
1.73,5,3.683709
2.91,6,3.698473
1.73,5,3.705106
1.05,6,3.713496
1.08,4,3.72109
2.02,7,3.733713
0.72,4,3.742457
1.8,6,3.753564
1.94,6,3.759784
2.0,5,3.765529
1.85,5,3.777992
2.33,6,3.787218
1.2,5,3.79574
1.8,4,3.804043
2.95,8,3.817661
1.34,5,3.83064
1.9,6,3.843102
2.44,6,3.856946
1.31,4,3.864566
1.13,4,3.870996
2.32,7,3.88101
1.95,4,3.887054
1.2,4,3.894247
1.56,4,3.902262
2.56,8,3.917778
3.35,7,3.932248
2.97,6,3.94606
0.27,4,3.952443
2.49,7,3.960448
2.39,6,3.972106
1.54,7,3.986665
2.61,5,4.013739
1.53,5,4.022233
3.7,7,4.03789
3.22,7,4.053999
1.64,4,4.0631
2.78,7,4.074511
3.22,8,4.091455
2.39,6,4.105397
0.9,6,4.115058
1.71,5,4.129528
1.37,4,4.137351
2.13,4,4.145332
3.21,8,4.162889
1.16,4,4.170948
1.75,4,4.177847
1.37,4,4.1857
1.91,6,4.193635
3.58,8,4.209306
2.78,6,4.22106
1.32,5,4.230891
2.49,7,4.246608
1.59,6,4.256483
3.3,8,4.272022
1.46,4,4.278874
1.85,6,4.292643
3.84,9,4.310312
2.42,7,4.323745
2.88,7,4.333349
2.14,7,4.347714
1.85,6,4.362005
0.41,4,4.369877
1.17,4,4.376321
0.75,4,4.383385
3.03,6,4.393242
1.78,6,4.407573
3.02,7,4.417834
2.31,5,4.429888
1.97,6,4.439405
1.5,5,4.448744
2.71,6,4.463437
1.18,5,4.472288
1.56,5,4.480076
2.7,6,4.491415
2.9,6,4.500644
1.86,4,4.509459
1.37,5,4.537019
2.09,7,4.550744
2.18,5,4.578805
1.57,5,4.599606
3.06,8,4.65631
1.59,5,4.665834
1.44,6,4.681412
2.22,7,4.69303
1.69,4,4.701643
1.92,6,4.717117
3.32,7,4.732605
1.53,5,4.741736
2.57,7,4.756499
1.58,4,4.763902
2.96,6,4.772702
1.47,4,4.780606
2.01,5,4.7889
2.48,7,4.806664
2.22,6,4.82223
0.85,5,4.831486
2.12,7,4.84785
2.28,6,4.857677
1.56,5,4.867201
1.87,5,4.880853
1.7,6,4.889787
2.66,7,4.903982
2.29,6,4.911772
1.9,3,4.917456
1.68,4,4.925146
2.04,4,4.932256
1.32,5,4.940424
1.47,5,4.95486
2.59,6,4.965118
1.62,5,4.973202
1.39,6,4.987371
2.12,6,4.996186
1.27,5,5.011261
1.94,7,5.0373
1.61,5,5.052947
1.71,5,5.063247
1.44,6,5.076237
2.23,6,5.09362
2.32,5,5.102006
1.53,4,5.109089
1.47,4,5.117147
2.31,8,5.133462
0.78,4,5.142226
3.41,8,5.160524
2.16,6,5.173327
1.81,5,5.181992
2.08,6,5.190407
2.24,5,5.203025
1.56,5,5.210954
2.35,8,5.225999
1.9,6,5.238156
2.41,8,5.257065
2.81,7,5.272723
1.5,5,5.281885
1.2,4,5.290744
2.31,7,5.305996
1.86,7,5.323883
1.15,4,5.332162
2.13,7,5.348865
2.69,6,5.358342
1.8,5,5.370274
1.9,6,5.386673
1.51,6,5.396779
2.64,8,5.411999
1.39,6,5.42839
2.28,6,5.437774
2.2,6,5.451414
2.13,5,5.458329
1.36,6,5.47454
2.99,7,5.485891
1.34,5,5.501107
1.77,6,5.511289
2.26,7,5.528147
2.6,7,5.544381
2.17,4,5.552012
1.76,5,5.56035
1.32,5,5.569062
1.47,6,5.582514
1.69,6,5.593367
2.21,5,5.602781
1.87,6,5.619127
2.16,6,5.629184
1.61,6,5.645612
1.32,5,5.656108
1.76,6,5.6724
2.08,6,5.681029
3.84,9,5.697769
0.74,4,5.705972
1.56,6,5.723773
2.55,6,5.731948
2.71,7,5.748371
2.4,7,5.765626
3.12,7,5.784124
1.57,5,5.794316
2.43,7,5.809352
3.7,9,5.82808
1.7,7,5.84859
1.32,5,5.861531
2.24,8,5.878978
4.51,9,5.897637
3.13,8,5.913169
1.91,6,5.932973
3.02,7,5.944554
3.69,6,5.960447
4.76,8,5.980457
4.02,6,6.00343
2.63,6,6.019208
3.47,6,6.030739
3.23,6,6.046961
1.92,5,6.057149
2.22,4,6.067351
2.6,6,6.082598
3.17,6,6.091696
1.99,4,6.100724
2.22,4,6.110691
1.9,5,6.119756
3.84,7,6.137224
3.66,7,6.152215
2.53,5,6.16193
3.06,5,6.171172
2.35,6,6.187246
1.72,6,6.195522
3.13,6,6.21227
2.22,4,6.223239
7.71,11,6.247836
2.39,6,6.258533
3.34,6,6.274811
3.88,7,6.285266
3.28,6,6.301917
1.9,4,6.310013
3.22,6,6.321863
3.52,6,6.33946
3.17,6,6.351362
4.41,8,6.370035
3.13,6,6.387316
3.31,6,6.397945
3.42,6,6.413089
2.97,6,6.425505
3.11,6,6.441543
2.39,5,6.451067
2.7,4,6.46121
3.99,7,6.479106
2.92,5,6.489503
5.07,8,6.506975
2.91,7,6.522742
2.22,4,6.532779
3.19,6,6.543497
2.8,5,6.560665
1.97,5,6.570061
2.22,4,6.579949
3.18,5,6.588665
3.77,6,6.599667
2.11,5,6.607743
2.22,4,6.618793
3.0,5,6.628198
3.44,7,6.642748
4.3,7,6.660873
2.57,5,6.66805
4.48,8,6.681804
2.59,5,6.689573
2.09,5,6.696166
2.94,5,6.709488
2.33,5,6.718127
2.22,4,6.727173
2.66,5,6.734892
2.49,5,6.742477
1.79,4,6.750331
3.17,6,6.76611
1.85,4,6.772472
3.04,6,6.780194
2.22,4,6.78881
3.13,6,6.804374
3.32,6,6.81248
3.45,7,6.827465
1.5,5,6.833909
3.15,6,6.848753
2.85,5,6.859083
4.0,7,6.87388
2.22,4,6.883918
4.06,7,6.900195
2.85,5,6.910221
2.22,4,6.917482
2.66,6,6.92849
2.22,4,6.937596
