#{"t_start": 1774948412.611707, "env_id": "None"}
r,l,t
2.62,8,0.037934
2.69,6,0.053734
2.82,7,0.072612
4.02,6,0.087603
2.41,4,0.097279
2.22,5,0.11162
3.43,8,0.132147
3.56,8,0.153429
6.62,11,0.182742
2.66,7,0.201258
2.72,5,0.214986
5.41,8,0.235618
3.91,7,0.253936
3.14,7,0.272788
4.58,9,0.296259
4.15,9,0.321563
2.09,6,0.338133
5.31,10,0.364314
4.22,7,0.383188
3.75,8,0.40404
3.97,7,0.420238
1.84,5,0.43247
2.24,6,0.4468
4.21,7,0.465605
3.39,7,0.482964
3.19,6,0.500279
5.2,9,0.531706
4.48,7,0.55719
3.87,7,0.577962
5.36,11,0.611025
4.08,7,0.631248
2.04,5,0.646456
4.48,8,0.668996
3.99,7,0.684103
1.69,6,0.696746
3.65,8,0.71422
4.82,8,0.730321
3.99,7,0.745157
1.94,7,0.760411
3.22,8,0.778505
3.33,6,0.791226
3.37,6,0.804716
1.53,4,0.813421
5.81,13,0.838619
4.42,8,0.853643
2.02,6,0.865187
2.43,9,0.883603
2.51,6,0.895188
2.9,7,0.908984
3.06,6,0.921094
5.75,10,0.944923
1.77,4,0.953991
2.52,7,0.967246
2.55,6,0.978763
2.96,6,0.990957
2.09,6,1.002475
2.04,4,1.010797
4.59,7,1.025469
1.99,6,1.03817
4.04,7,1.052648
2.86,6,1.064687
3.26,7,1.07871
5.75,9,1.097049
2.75,6,1.109552
2.62,5,1.119938
3.69,7,1.13456
1.26,5,1.144632
2.54,5,1.155172
4.1,9,1.173572
3.71,6,1.185817
2.75,6,1.197702
2.43,5,1.207784
2.54,4,1.216088
3.86,8,1.231425
4.37,8,2.178728
3.16,6,2.193903
2.27,5,2.206584
2.7,6,2.222687
4.42,9,2.247933
2.91,5,2.261371
1.64,4,2.272325
5.39,8,2.293467
3.09,6,2.310125
1.7,3,2.320195
4.43,9,2.343168
5.2,7,2.361691
5.86,12,2.394926
3.95,8,2.414587
3.08,8,2.436401
3.23,8,2.456917
5.18,8,2.47899
2.56,7,2.499054
2.97,7,2.517614
3.76,7,2.538893
3.66,8,2.559759
3.53,8,2.580702
3.25,6,2.596827
5.74,9,2.62095
2.89,9,2.644377
2.32,7,2.663182
2.79,7,2.680829
1.96,7,2.699281
2.27,6,2.714899
2.66,8,2.737841
6.99,12,2.77616
4.44,7,2.796646
3.85,8,2.81635
3.8,7,2.835276
3.8,6,2.85189
3.38,7,2.868519
3.88,9,2.891362
5.39,9,2.909276
2.31,5,2.920638
4.72,8,2.940029
5.1,8,2.960691
3.91,7,2.977747
2.33,6,2.992732
3.26,5,3.004826
6.54,10,3.031139
2.4,5,3.044843
3.34,6,3.05931
4.91,9,3.08019
4.88,8,3.098221
2.34,6,3.113456
3.92,7,3.131728
3.77,6,3.146673
4.49,11,3.174114
2.62,6,3.189407
3.0,6,3.203773
1.24,6,3.219292
4.38,7,3.237638
2.63,6,3.253085
2.85,7,3.271424
4.67,8,3.290683
5.72,10,3.315218
2.47,6,3.331478
3.84,7,3.349389
4.0,7,3.368605
1.82,6,3.383226
5.31,10,3.408064
3.1,7,3.425987
3.22,7,3.44395
1.95,6,3.460589
2.47,7,3.478238
3.9,8,4.304729
4.47,10,4.330051
3.84,9,4.35205
4.21,10,4.380291
3.57,7,4.396691
3.23,7,4.412445
2.25,5,4.423212
2.79,7,4.437892
6.61,12,4.465409
5.76,11,4.489258
0.89,3,4.494906
3.46,7,4.512433
4.63,12,4.541859
4.62,9,4.562255
5.42,11,4.584267
4.2,6,4.595021
2.57,5,4.605207
4.81,7,4.618651
3.3,5,4.628245
2.63,6,4.6408
3.52,7,4.653841
3.62,6,4.66538
3.5,8,4.680365
3.47,7,4.693512
4.62,9,4.710213
4.32,7,4.723474
3.3,9,4.741527
3.62,9,4.758475
4.19,8,4.773536
2.06,6,4.78442
3.98,8,4.799004
5.91,9,4.815695
3.04,7,4.828691
2.85,8,4.844839
4.96,10,4.865628
2.51,5,4.877263
3.06,6,4.889181
4.96,7,4.903405
3.47,8,4.919321
3.29,8,4.935315
2.97,8,4.952942
2.93,5,4.962916
2.3,5,4.973453
3.95,8,4.98837
2.93,6,4.999578
4.12,9,5.016184
4.61,9,5.033524
5.2,9,5.051882
4.65,10,5.070566
4.36,6,5.081767
2.75,5,5.091877
3.36,9,5.10948
2.83,6,5.121036
5.04,10,5.141176
3.48,6,5.157367
2.1,5,5.170631
5.76,10,5.195849
4.11,8,5.216003
6.18,10,5.24234
3.05,6,5.258721
2.4,5,5.273021
2.62,6,5.287012
3.64,8,5.304165
5.5,11,5.330204
3.88,10,5.357191
2.76,7,5.374852
2.9,6,5.390206
3.76,8,6.182251
2.77,8,6.202572
4.55,7,6.220278
3.74,6,6.235105
3.96,8,6.254066
5.84,13,6.286355
4.48,9,6.308159
3.14,6,6.323437
3.11,6,6.338827
6.4,11,6.369328
3.63,6,6.384426
3.45,8,6.405853
4.27,10,6.426833
2.74,5,6.436128
8.0,12,6.458883
5.8,10,6.477745
4.61,8,6.492792
4.79,10,6.510756
4.63,9,6.527461
5.02,10,6.546184
4.49,10,6.566856
4.05,9,6.583924
4.08,9,6.600736
3.61,7,6.614122
1.79,6,6.625026
5.1,9,6.641804
2.94,6,6.655191
4.09,6,6.66738
7.14,12,6.690414
2.69,6,6.702411
3.18,7,6.715335
3.33,5,6.724739
2.5,8,6.739456
4.22,9,6.75766
5.61,7,6.770555
6.27,9,6.787514
4.58,9,6.804359
2.75,6,6.815777
3.05,6,6.827111
3.56,7,6.84042
6.15,11,6.861362
1.36,6,6.872768
3.58,5,6.882289
2.58,6,6.894091
7.18,13,6.920475
4.33,7,6.934513
4.75,8,6.95069
3.63,6,6.964509
3.23,8,6.980313
3.64,9,6.998034
4.63,9,7.015759
3.04,7,7.029617
4.27,8,7.04505
7.92,14,7.073118
4.29,7,7.087055
3.49,8,7.102968
5.04,11,7.124762
2.75,6,7.214576
4.84,10,7.232333
1.33,4,7.23953
3.1,6,7.250641
5.73,9,7.268279
4.89,10,7.286759
2.8,6,7.298113
3.55,6,8.065707
4.88,9,8.088947
1.65,4,8.099109
4.13,9,8.124197
4.13,8,8.144185
3.91,10,8.167672
5.03,8,8.18677
3.53,9,8.21354
3.69,6,8.226224
4.78,9,8.247483
6.25,11,8.276956
6.07,10,8.301329
3.16,7,8.317734
2.65,6,8.335929
2.34,5,8.351432
5.54,9,8.392671
4.6,9,8.418491
4.47,8,8.45574
4.61,7,8.494328
1.97,4,8.509467
3.84,7,8.538504
3.07,7,8.558392
3.56,8,8.583158
5.76,10,8.614677
2.83,6,8.63517
3.24,7,8.659052
2.35,6,8.675197
