#{"t_start": 1774855206.9593089, "env_id": "None"}
r,l,t
2.6,4,0.012951
1.69,3,0.013819
4.04,7,0.015639
1.47,4,0.016658
0.52,3,0.017608
1.62,5,0.018779
1.59,5,0.020016
2.23,8,0.022056
1.85,4,0.023257
0.88,4,0.024263
1.48,5,0.025627
2.86,6,0.027697
1.53,5,0.02929
1.35,3,0.030155
3.47,7,0.038055
3.41,7,0.039868
0.81,3,0.041
2.88,6,0.042749
2.83,7,0.044626
2.45,5,0.045975
2.07,5,0.055142
1.83,4,0.072894
0.53,3,0.082837
2.57,5,0.106618
2.23,5,0.139337
1.87,6,0.164757
1.79,4,0.172167
1.92,5,0.18005
1.87,4,0.187388
3.0,6,0.193811
0.92,4,0.212106
4.08,7,0.239637
1.82,4,0.246507
0.56,5,0.253902
1.34,4,0.262138
1.26,3,0.267877
1.39,3,0.274473
2.33,5,0.281728
2.24,5,0.290817
1.48,3,0.298502
1.87,4,0.305431
2.26,6,0.322009
2.21,5,0.347597
1.55,6,0.359257
2.04,4,0.366573
1.87,5,0.379834
1.75,6,0.387588
2.09,5,0.396458
2.36,5,0.410882
3.28,8,0.425071
1.64,4,0.430415
0.73,3,0.432464
2.24,4,0.437409
1.51,3,0.442816
0.3,3,0.447613
1.15,4,0.452584
2.96,6,0.459496
2.62,7,0.471953
1.24,4,0.478368
1.0,3,0.484475
2.08,5,0.491719
2.19,6,0.503539
1.96,4,0.509551
2.58,7,0.51787
1.94,5,0.531068
1.42,4,0.54002
2.26,5,0.547948
1.09,3,0.554145
0.62,3,0.555322
2.03,4,0.562774
0.95,4,0.569769
1.18,5,0.582726
1.41,5,0.59096
1.59,3,0.597464
1.58,5,0.604706
1.88,5,0.639779
1.36,3,0.648502
1.92,4,0.65624
2.72,6,0.665797
1.25,4,0.675041
3.57,7,0.689074
1.96,4,0.69659
2.52,5,0.705503
1.52,4,0.713041
0.98,3,0.720608
1.41,4,0.729595
1.13,3,0.746096
1.13,3,0.753811
3.36,7,0.764089
1.06,4,0.77167
0.79,3,0.779135
1.72,4,0.787788
2.06,5,0.795811
1.06,3,0.803782
1.7,6,0.818948
1.48,4,0.826612
3.27,6,0.836075
2.4,6,0.84939
2.75,5,0.857944
2.3,4,0.866928
1.8,5,0.875026
4.96,7,0.894659
1.68,3,0.901678
0.88,3,0.902774
